,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
29,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
62,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
103,mPOS,2017-02-08,mPOS,FMT_POS_0470,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
136,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
203,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
279,mPOS,2017-02-14,mPOS,FMT_POS_0470,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
324,mPOS,2017-02-14,mPOS,FMT_POS_0470,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
357,mPOS,2017-02-14,mPOS,FMT_POS_0470,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
390,mPOS,2017-02-14,mPOS,FMT_POS_0470,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
428,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
484,mPOS,2017-02-09,mPOS,FMT_POS_0470,,,True,2017,2,9,4,0,0,0,0,0,0,0,0
520,mPOS,2017-02-09,mPOS,FMT_POS_0470,,,True,2017,2,9,4,0,0,0,0,0,0,0,0
580,mPOS,2017-02-08,mPOS,FMT_POS_0470,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
613,mPOS,2017-02-08,mPOS,FMT_POS_0470,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
646,mPOS,2017-02-08,mPOS,FMT_POS_0470,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
679,mPOS,2017-02-08,mPOS,FMT_POS_0470,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
712,mPOS,2017-02-08,mPOS,FMT_POS_0470,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
746,mPOS,2017-02-08,mPOS,FMT_POS_0470,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
779,mPOS,2017-02-08,mPOS,FMT_POS_0470,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
812,mPOS,2017-02-08,mPOS,FMT_POS_0470,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
845,mPOS,2017-02-08,mPOS,FMT_POS_0470,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
896,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
930,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
967,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
1002,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
1036,mPOS,2017-02-10,mPOS,FMT_POS_0470,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
1093,mPOS,2017-02-14,mPOS,FMT_POS_0470,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
1126,mPOS,2017-02-14,mPOS,FMT_POS_0470,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
1193,mPOS,2017-02-09,mPOS,FMT_POS_0470,,,True,2017,2,9,4,0,0,0,0,0,0,0,0
1283,mPOS,2017-02-14,mPOS,FMT_POS_0470,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
1320,mPOS,2017-02-14,mPOS,FMT_POS_0470,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
1387,mPOS,2017-02-13,mPOS,FMT_POS_0470,,,True,2017,2,13,1,0,0,0,0,0,0,0,0
1457,CSIS-SIT3,2017-04-19,CSIS-SIT3,FMT_POS_0470,2015-04-19,2017-04-19,True,2017,4,19,3,2015,4,19,7,2017,4,19,3
1570,mPOS,2017-04-19,mPOS,FMT_POS_0470,,,True,2017,4,19,3,0,0,0,0,0,0,0,0
1612,CSIS-SIT3,2017-04-19,CSIS-SIT3,FMT_POS_0470,2015-04-19,2017-04-19,True,2017,4,19,3,2015,4,19,7,2017,4,19,3
1727,mPOS,2017-02-15,mPOS,FMT_POS_0470,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
1771,mPOS,2017-02-17,mPOS,FMT_POS_0470,,,True,2017,2,17,5,0,0,0,0,0,0,0,0
1815,mPOS,2017-02-17,mPOS,FMT_POS_0470,,,True,2017,2,17,5,0,0,0,0,0,0,0,0
1860,mPOS,2017-02-16,mPOS,FMT_POS_0470,,,True,2017,2,16,4,0,0,0,0,0,0,0,0
1897,mPOS,2017-02-15,mPOS,FMT_POS_0470,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
1935,mPOS,2017-02-17,mPOS,FMT_POS_0470,,,True,2017,2,17,5,0,0,0,0,0,0,0,0
1975,user1,2017-02-17,user1,FMT_POS_0470,2016-03-01,2017-08-31,True,2017,2,17,5,2016,3,1,2,2017,8,31,4
1984,mPOS,2017-02-17,mPOS,FMT_POS_0470,,,True,2017,2,17,5,0,0,0,0,0,0,0,0
