,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
15590,mPOS,2017-03-24,mPOS,FMT_SC_6840,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15636,mPOS,2017-03-24,mPOS,FMT_SC_6840,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15642,mPOS,2017-03-24,mPOS,FMT_SC_6840,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15644,mPOS,2017-03-24,mPOS,FMT_SC_6840,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16162,mPOS,2017-03-24,mPOS,FMT_SC_6840,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
20722,mPOS,2017-03-28,mPOS,FMT_SC_6840,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
21622,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21633,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21651,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21660,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21672,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21681,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21749,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21758,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21814,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21822,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
