,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
13031,001713,2017-03-16,001713,FMT_UNB_0441,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
15692,mPOS,2017-03-24,mPOS,FMT_UNB_0441,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16231,mPOS,2017-03-24,mPOS,FMT_UNB_0441,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
18573,000358,2017-03-27,000358,FMT_UNB_0441,2017-03-01,2017-03-01,True,2017,3,27,1,2017,3,1,3,2017,3,1,3
21223,user3,2017-03-29,user3,FMT_UNB_0441,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
21313,mPOS,2017-04-03,mPOS,FMT_UNB_0441,,,True,2017,4,3,1,0,0,0,0,0,0,0,0
22458,user3,2017-04-06,user3,FMT_UNB_0441,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
23083,mPOS,2017-04-03,mPOS,FMT_UNB_0441,,,True,2017,4,3,1,0,0,0,0,0,0,0,0
23091,mPOS,2017-04-03,mPOS,FMT_UNB_0441,,,True,2017,4,3,1,0,0,0,0,0,0,0,0
23096,mPOS,2017-04-03,mPOS,FMT_UNB_0441,,,True,2017,4,3,1,0,0,0,0,0,0,0,0
23151,user3,2017-04-06,user3,FMT_UNB_0441,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
23152,user3,2017-04-06,user3,FMT_UNB_0441,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
23153,user3,2017-04-06,user3,FMT_UNB_0441,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
23154,user3,2017-04-06,user3,FMT_UNB_0441,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
23828,user2,2017-04-07,user2,FMT_UNB_0441,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
24748,user1,2017-04-05,user1,FMT_UNB_0441,2017-03-31,2017-03-31,True,2017,4,5,3,2017,3,31,5,2017,3,31,5
25562,user2,2017-04-07,user2,FMT_UNB_0441,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
25722,mPOS,2017-04-05,mPOS,FMT_UNB_0441,,,True,2017,4,5,3,0,0,0,0,0,0,0,0
26655,mPOS,2017-04-12,mPOS,FMT_UNB_0441,,,True,2017,4,12,3,0,0,0,0,0,0,0,0
26762,000791,2017-04-12,000791,FMT_UNB_0441,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26763,000791,2017-04-12,000791,FMT_UNB_0441,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26764,000791,2017-04-12,000791,FMT_UNB_0441,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26765,000791,2017-04-12,000791,FMT_UNB_0441,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27113,user3,2017-04-12,user3,FMT_UNB_0441,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
28335,mPOS,2017-04-13,mPOS,FMT_UNB_0441,,,True,2017,4,13,4,0,0,0,0,0,0,0,0
