,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1673,000358,2017-02-14,000358,ODS-POS-1160,,2017-02-01,True,2017,2,14,2,0,0,0,0,2017,2,1,3
2912,ricky,2017-02-18,ricky,ODS-POS-1160,2017-01-02,2017-01-02,True,2017,2,18,6,2017,1,2,1,2017,1,2,1
4116,yusiang,2017-02-23,yusiang,ODS-POS-1160,2017-02-20,2017-02-20,True,2017,2,23,4,2017,2,20,1,2017,2,20,1
4659,000358,2017-03-08,000358,ODS-POS-1160,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
4762,000358,2017-03-08,000358,ODS-POS-1160,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
5333,user4,2017-02-23,user4,ODS-POS-1160,2017-01-03,2017-01-03,True,2017,2,23,4,2017,1,3,2,2017,1,3,2
7249,user4,2017-02-23,user4,ODS-POS-1160,2017-01-03,2017-01-03,True,2017,2,23,4,2017,1,3,2,2017,1,3,2
10010,yusiang,2017-03-08,yusiang,ODS-POS-1160,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
10045,000358,2017-03-08,000358,ODS-POS-1160,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
18325,user4,2017-03-29,user4,ODS-POS-1160,2017-03-01,2017-03-01,True,2017,3,29,3,2017,3,1,3,2017,3,1,3
19740,000358,2017-03-30,000358,ODS-POS-1160,2017-03-01,2017-03-01,True,2017,3,30,4,2017,3,1,3,2017,3,1,3
26299,001231,2017-04-11,001231,ODS-POS-1160,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
