,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
2843,ricky,2017-02-16,ricky,ODS_ACT_0270,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
2844,ricky,2017-02-16,ricky,ODS_ACT_0270,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
3026,ricky,2017-02-17,ricky,ODS_ACT_0270,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
3028,ricky,2017-02-17,ricky,ODS_ACT_0270,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
11536,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11537,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11538,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11539,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11540,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11541,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11542,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11544,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11706,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11707,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11708,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11710,001336,2017-03-15,001336,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11819,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11820,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11821,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11822,001689,2017-03-15,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
12915,001689,2017-03-16,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13054,001689,2017-03-16,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13055,001689,2017-03-16,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13189,001689,2017-03-16,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13190,001689,2017-03-16,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13191,001689,2017-03-16,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13389,001689,2017-03-16,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13390,001689,2017-03-16,001689,ODS_ACT_0270,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
28859,001689,2017-04-17,001689,ODS_ACT_0270,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
29135,001689,2017-04-17,001689,ODS_ACT_0270,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
29825,001689,2017-04-17,001689,ODS_ACT_0270,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
