,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1665,000358,2017-02-14,000358,ODS_CLM_0580,,2017-02-01,True,2017,2,14,2,0,0,0,0,2017,2,1,3
2904,ricky,2017-02-18,ricky,ODS_CLM_0580,2017-01-02,2017-01-02,True,2017,2,18,6,2017,1,2,1,2017,1,2,1
3981,001039,2017-02-22,001039,ODS_CLM_0580,2017-01-31,2017-01-31,True,2017,2,22,3,2017,1,31,2,2017,1,31,2
4108,yusiang,2017-02-23,yusiang,ODS_CLM_0580,2017-02-20,2017-02-20,True,2017,2,23,4,2017,2,20,1,2017,2,20,1
4272,001076,2017-03-02,001076,ODS_CLM_0580,2016-01-06,2016-01-06,True,2017,3,2,4,2016,1,6,3,2016,1,6,3
4273,001076,2017-03-02,001076,ODS_CLM_0580,2016-01-07,2016-01-07,True,2017,3,2,4,2016,1,7,4,2016,1,7,4
4290,001076,2017-03-02,001076,ODS_CLM_0580,2016-01-08,2016-01-08,True,2017,3,2,4,2016,1,8,5,2016,1,8,5
4811,000358,2017-03-08,000358,ODS_CLM_0580,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
5310,user4,2017-02-23,user4,ODS_CLM_0580,2017-01-03,2017-01-03,True,2017,2,23,4,2017,1,3,2,2017,1,3,2
7237,user4,2017-02-23,user4,ODS_CLM_0580,2017-01-03,2017-01-03,True,2017,2,23,4,2017,1,3,2,2017,1,3,2
7600,user3,2017-03-04,user3,ODS_CLM_0580,2017-01-10,2017-01-10,True,2017,3,4,6,2017,1,10,2,2017,1,10,2
8202,001076,2017-03-02,001076,ODS_CLM_0580,2016-01-11,2016-01-11,True,2017,3,2,4,2016,1,11,1,2016,1,11,1
9960,yusiang,2017-03-08,yusiang,ODS_CLM_0580,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
10033,000358,2017-03-08,000358,ODS_CLM_0580,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
10356,000358,2017-03-08,000358,ODS_CLM_0580,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
11386,yusiang,2017-03-13,yusiang,ODS_CLM_0580,2017-01-31,2017-01-31,True,2017,3,13,1,2017,1,31,2,2017,1,31,2
11387,yusiang,2017-03-13,yusiang,ODS_CLM_0580,2017-01-31,2017-01-31,True,2017,3,13,1,2017,1,31,2,2017,1,31,2
11462,yusiang,2017-03-13,yusiang,ODS_CLM_0580,2012-11-11,2012-11-11,True,2017,3,13,1,2012,11,11,7,2012,11,11,7
11463,yusiang,2017-03-13,yusiang,ODS_CLM_0580,2012-11-11,2012-11-11,True,2017,3,13,1,2012,11,11,7,2012,11,11,7
11464,yusiang,2017-03-13,yusiang,ODS_CLM_0580,2012-11-11,2012-11-11,True,2017,3,13,1,2012,11,11,7,2012,11,11,7
11468,yusiang,2017-03-13,yusiang,ODS_CLM_0580,2012-11-11,2012-11-11,True,2017,3,13,1,2012,11,11,7,2012,11,11,7
11469,yusiang,2017-03-13,yusiang,ODS_CLM_0580,2012-11-11,2012-11-11,True,2017,3,13,1,2012,11,11,7,2012,11,11,7
11470,yusiang,2017-03-13,yusiang,ODS_CLM_0580,2012-11-11,2012-11-11,True,2017,3,13,1,2012,11,11,7,2012,11,11,7
11473,yusiang,2017-03-13,yusiang,ODS_CLM_0580,2012-05-14,2012-05-14,True,2017,3,13,1,2012,5,14,1,2012,5,14,1
11496,yusiang,2017-03-13,yusiang,ODS_CLM_0580,2012-11-11,2012-11-11,True,2017,3,13,1,2012,11,11,7,2012,11,11,7
11498,yusiang,2017-03-13,yusiang,ODS_CLM_0580,2012-05-14,2012-05-14,True,2017,3,13,1,2012,5,14,1,2012,5,14,1
12204,001076,2017-03-15,001076,ODS_CLM_0580,2016-12-13,2016-12-13,True,2017,3,15,3,2016,12,13,2,2016,12,13,2
12205,001076,2017-03-15,001076,ODS_CLM_0580,2016-01-06,2016-01-06,True,2017,3,15,3,2016,1,6,3,2016,1,6,3
17914,001076,2017-03-30,001076,ODS_CLM_0580,2017-03-01,2017-03-01,True,2017,3,30,4,2017,3,1,3,2017,3,1,3
18317,user4,2017-03-29,user4,ODS_CLM_0580,2017-03-01,2017-03-01,True,2017,3,29,3,2017,3,1,3,2017,3,1,3
18595,001076,2017-03-27,001076,ODS_CLM_0580,2017-01-01,2017-01-01,True,2017,3,27,1,2017,1,1,7,2017,1,1,7
19732,000358,2017-03-30,000358,ODS_CLM_0580,2017-03-01,2017-03-01,True,2017,3,30,4,2017,3,1,3,2017,3,1,3
26287,001231,2017-04-11,001231,ODS_CLM_0580,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
26782,001076,2017-04-12,001076,ODS_CLM_0580,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
29325,001076,2017-04-17,001076,ODS_CLM_0580,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
29561,001076,2017-04-17,001076,ODS_CLM_0580,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
30185,001076,2017-04-17,001076,ODS_CLM_0580,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
