,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
10524,000718,2017-03-11,000718,ODS_FIN_0370,,9999-12-31,True,2017,3,11,6,0,0,0,0,0,0,0,0
10526,000718,2017-03-11,000718,ODS_FIN_0370,,9999-12-31,True,2017,3,11,6,0,0,0,0,0,0,0,0
10527,000718,2017-03-11,000718,ODS_FIN_0370,,9999-12-31,True,2017,3,11,6,0,0,0,0,0,0,0,0
11187,roxana,2017-03-14,roxana,ODS_FIN_0370,,9999-12-31,True,2017,3,14,2,0,0,0,0,0,0,0,0
12908,roxana,2017-03-16,roxana,ODS_FIN_0370,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
12928,roxana,2017-03-16,roxana,ODS_FIN_0370,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
12944,roxana,2017-03-16,roxana,ODS_FIN_0370,,9999-12-31,True,2017,3,16,4,0,0,0,0,0,0,0,0
13133,roxana,2017-03-17,roxana,ODS_FIN_0370,,9999-12-31,True,2017,3,17,5,0,0,0,0,0,0,0,0
15300,roxana,2017-03-21,roxana,ODS_FIN_0370,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
17190,roxana,2017-03-21,roxana,ODS_FIN_0370,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
23642,001867,2017-04-07,001867,ODS_FIN_0370,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
28129,001867,2017-04-14,001867,ODS_FIN_0370,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
28137,001867,2017-04-14,001867,ODS_FIN_0370,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
28337,000718,2017-04-14,000718,ODS_FIN_0370,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
29626,001867,2017-04-14,001867,ODS_FIN_0370,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
30485,000718,2017-04-21,000718,ODS_FIN_0370,,9999-12-31,True,2017,4,21,5,0,0,0,0,0,0,0,0
