,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1797,000768,2017-02-15,000768,ODS_INV_7170,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
2108,invdaphne,2017-02-17,invdaphne,ODS_INV_7170,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
2293,roxana,2017-02-17,roxana,ODS_INV_7170,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
2480,ricky,2017-02-20,ricky,ODS_INV_7170,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
2481,ricky,2017-02-20,ricky,ODS_INV_7170,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
2642,roxana,2017-02-16,roxana,ODS_INV_7170,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
2738,000768,2017-02-20,000768,ODS_INV_7170,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
2963,000768,2017-02-17,000768,ODS_INV_7170,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
2970,000768,2017-02-17,000768,ODS_INV_7170,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
3085,weiting,2017-02-17,weiting,ODS_INV_7170,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
3658,roxana,2017-02-20,roxana,ODS_INV_7170,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
3809,000768,2017-02-20,000768,ODS_INV_7170,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
3889,000768,2017-02-23,000768,ODS_INV_7170,,9999-12-31,True,2017,2,23,4,0,0,0,0,0,0,0,0
4025,000768,2017-02-22,000768,ODS_INV_7170,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4099,000768,2017-02-23,000768,ODS_INV_7170,,9999-12-31,True,2017,2,23,4,0,0,0,0,0,0,0,0
4492,000759,2017-03-07,000759,ODS_INV_7170,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
4496,000759,2017-03-07,000759,ODS_INV_7170,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
