,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1232,000219,2017-02-14,000219,ODS_PA_0270,2016-01-01,2016-01-01,True,2017,2,14,2,2016,1,1,5,2016,1,1,5
1233,000219,2017-02-14,000219,ODS_PA_0270,2016-11-30,2016-11-30,True,2017,2,14,2,2016,11,30,3,2016,11,30,3
1259,000219,2017-02-14,000219,ODS_PA_0270,2016-11-30,2016-11-30,True,2017,2,14,2,2016,11,30,3,2016,11,30,3
1261,000219,2017-02-14,000219,ODS_PA_0270,2016-11-30,2016-11-30,True,2017,2,14,2,2016,11,30,3,2016,11,30,3
4026,000219,2017-02-22,000219,ODS_PA_0270,2017-01-03,2017-01-03,True,2017,2,22,3,2017,1,3,2,2017,1,3,2
4429,000368,2017-02-24,000368,ODS_PA_0270,2016-12-31,2016-12-31,True,2017,2,24,5,2016,12,31,6,2016,12,31,6
4430,000368,2017-02-24,000368,ODS_PA_0270,2016-12-30,2016-12-30,True,2017,2,24,5,2016,12,30,5,2016,12,30,5
4432,000368,2017-02-24,000368,ODS_PA_0270,2017-01-03,2017-01-03,True,2017,2,24,5,2017,1,3,2,2017,1,3,2
4695,000219,2017-03-07,000219,ODS_PA_0270,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
4696,000219,2017-03-07,000219,ODS_PA_0270,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
4789,000219,2017-03-09,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,3,9,4,2016,1,3,7,2016,1,3,7
4790,000219,2017-03-09,000219,ODS_PA_0270,2016-01-13,2016-01-13,True,2017,3,9,4,2016,1,13,3,2016,1,13,3
4794,000219,2017-03-09,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,3,9,4,2016,1,3,7,2016,1,3,7
4795,000219,2017-03-09,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,3,9,4,2016,1,3,7,2016,1,3,7
4796,000219,2017-03-09,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,3,9,4,2016,1,3,7,2016,1,3,7
5801,000219,2017-03-09,000219,ODS_PA_0270,2016-01-13,2016-01-13,True,2017,3,9,4,2016,1,13,3,2016,1,13,3
5802,000219,2017-03-09,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,3,9,4,2016,1,3,7,2016,1,3,7
6050,000219,2017-02-22,000219,ODS_PA_0270,2016-01-03,2016-01-03,True,2017,2,22,3,2016,1,3,7,2016,1,3,7
6051,000219,2017-02-22,000219,ODS_PA_0270,2017-01-03,2017-01-03,True,2017,2,22,3,2017,1,3,2,2017,1,3,2
6928,roxana,2017-02-10,roxana,ODS_PA_0270,2017-01-31,2017-01-31,True,2017,2,10,5,2017,1,31,2,2017,1,31,2
7586,000219,2017-03-07,000219,ODS_PA_0270,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
9693,000219,2017-03-09,000219,ODS_PA_0270,2016-01-13,2016-01-13,True,2017,3,9,4,2016,1,13,3,2016,1,13,3
14878,000219,2017-03-21,000219,ODS_PA_0270,2017-02-27,2017-02-27,True,2017,3,21,2,2017,2,27,1,2017,2,27,1
18197,000368,2017-03-30,000368,ODS_PA_0270,2017-03-01,2017-03-01,True,2017,3,30,4,2017,3,1,3,2017,3,1,3
19872,000219,2017-03-27,000219,ODS_PA_0270,2017-03-01,2017-03-01,True,2017,3,27,1,2017,3,1,3,2017,3,1,3
20088,jesse,2017-03-30,jesse,ODS_PA_0270,2017-03-01,2017-03-01,True,2017,3,30,4,2017,3,1,3,2017,3,1,3
23588,000219,2017-04-07,000219,ODS_PA_0270,2017-03-31,2017-03-31,True,2017,4,7,5,2017,3,31,5,2017,3,31,5
25876,000219,2017-04-07,000219,ODS_PA_0270,2017-03-01,2017-03-01,True,2017,4,7,5,2017,3,1,3,2017,3,1,3
28155,000368,2017-04-15,000368,ODS_PA_0270,2017-04-05,2017-04-05,True,2017,4,15,6,2017,4,5,3,2017,4,5,3
28861,calvin,2017-04-17,calvin,ODS_PA_0270,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
28862,calvin,2017-04-17,calvin,ODS_PA_0270,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
29514,jesse,2017-04-17,jesse,ODS_PA_0270,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
29551,000368,2017-04-17,000368,ODS_PA_0270,2017-04-05,2017-04-05,True,2017,4,17,1,2017,4,5,3,2017,4,5,3
31816,000219,2017-04-20,000219,ODS_PA_0270,2017-01-03,2017-01-03,True,2017,4,20,4,2017,1,3,2,2017,1,3,2
31862,000368,2017-04-20,000368,ODS_PA_0270,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
31924,000219,2017-04-20,000219,ODS_PA_0270,2017-04-05,2017-04-05,True,2017,4,20,4,2017,4,5,3,2017,4,5,3
32203,000368,2017-04-20,000368,ODS_PA_0270,2017-04-30,2017-04-30,True,2017,4,20,4,2017,4,30,7,2017,4,30,7
32225,000368,2017-04-20,000368,ODS_PA_0270,2017-04-30,2017-04-30,True,2017,4,20,4,2017,4,30,7,2017,4,30,7
