,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4261,000368,2017-02-24,000368,ODS_PA_0560_P,2017-01-03,2017-01-03,True,2017,2,24,5,2017,1,3,2,2017,1,3,2
4262,000368,2017-02-24,000368,ODS_PA_0560_P,2017-01-03,2017-01-03,True,2017,2,24,5,2017,1,3,2,2017,1,3,2
4377,000368,2017-02-24,000368,ODS_PA_0560_P,2017-01-03,2017-01-03,True,2017,2,24,5,2017,1,3,2,2017,1,3,2
7972,001415,2017-03-04,001415,ODS_PA_0560_P,2017-01-10,2017-01-10,True,2017,3,4,6,2017,1,10,2,2017,1,10,2
10559,jesse,2017-04-12,jesse,ODS_PA_0560_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
11429,001415,2017-03-14,001415,ODS_PA_0560_P,2017-02-02,2017-02-02,True,2017,3,14,2,2017,2,2,4,2017,2,2,4
11430,001415,2017-03-14,001415,ODS_PA_0560_P,2017-02-02,2017-02-02,True,2017,3,14,2,2017,2,2,4,2017,2,2,4
11431,001415,2017-03-14,001415,ODS_PA_0560_P,2017-02-02,2017-02-02,True,2017,3,14,2,2017,2,2,4,2017,2,2,4
11476,001415,2017-03-13,001415,ODS_PA_0560_P,2017-02-02,2017-02-02,True,2017,3,13,1,2017,2,2,4,2017,2,2,4
11477,001415,2017-03-13,001415,ODS_PA_0560_P,2017-02-02,2017-02-02,True,2017,3,13,1,2017,2,2,4,2017,2,2,4
11500,001415,2017-03-13,001415,ODS_PA_0560_P,2017-02-02,2017-02-02,True,2017,3,13,1,2017,2,2,4,2017,2,2,4
14405,jesse,2017-04-12,jesse,ODS_PA_0560_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
17836,001415,2017-03-31,001415,ODS_PA_0560_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
17860,001415,2017-03-31,001415,ODS_PA_0560_P,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
22478,001415,2017-04-04,001415,ODS_PA_0560_P,2017-03-01,2017-03-01,True,2017,4,4,2,2017,3,1,3,2017,3,1,3
22479,001415,2017-04-04,001415,ODS_PA_0560_P,2017-03-01,2017-03-01,True,2017,4,4,2,2017,3,1,3,2017,3,1,3
27409,jesse,2017-04-12,jesse,ODS_PA_0560_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27410,jesse,2017-04-12,jesse,ODS_PA_0560_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
29455,001415,2017-04-14,001415,ODS_PA_0560_P,2017-04-05,2017-04-05,True,2017,4,14,5,2017,4,5,3,2017,4,5,3
29456,001415,2017-04-14,001415,ODS_PA_0560_P,2017-03-01,2017-03-01,True,2017,4,14,5,2017,3,1,3,2017,3,1,3
30526,001415,2017-04-21,001415,ODS_PA_0560_P,2017-04-30,2017-04-30,True,2017,4,21,5,2017,4,30,7,2017,4,30,7
30527,001415,2017-04-21,001415,ODS_PA_0560_P,2017-04-30,2017-04-30,True,2017,4,21,5,2017,4,30,7,2017,4,30,7
30528,001415,2017-04-21,001415,ODS_PA_0560_P,2017-04-30,2017-04-30,True,2017,4,21,5,2017,4,30,7,2017,4,30,7
30530,001415,2017-04-21,001415,ODS_PA_0560_P,2017-03-31,2017-03-31,True,2017,4,21,5,2017,3,31,5,2017,3,31,5
30531,001415,2017-04-21,001415,ODS_PA_0560_P,2017-04-30,2017-04-30,True,2017,4,21,5,2017,4,30,7,2017,4,30,7
30532,001415,2017-04-21,001415,ODS_PA_0560_P,2017-03-31,2017-03-31,True,2017,4,21,5,2017,3,31,5,2017,3,31,5
30540,001415,2017-04-21,001415,ODS_PA_0560_P,2017-04-05,2017-04-05,True,2017,4,21,5,2017,4,5,3,2017,4,5,3
30541,001415,2017-04-21,001415,ODS_PA_0560_P,2017-04-05,2017-04-05,True,2017,4,21,5,2017,4,5,3,2017,4,5,3
30554,001415,2017-04-21,001415,ODS_PA_0560_P,2017-03-01,2017-03-01,True,2017,4,21,5,2017,3,1,3,2017,3,1,3
30618,001415,2017-04-21,001415,ODS_PA_0560_P,2017-04-05,2017-04-05,True,2017,4,21,5,2017,4,5,3,2017,4,5,3
30619,001415,2017-04-21,001415,ODS_PA_0560_P,2017-04-05,2017-04-05,True,2017,4,21,5,2017,4,5,3,2017,4,5,3
30624,001415,2017-04-21,001415,ODS_PA_0560_P,2017-03-01,2017-03-01,True,2017,4,21,5,2017,3,1,3,2017,3,1,3
30625,001415,2017-04-21,001415,ODS_PA_0560_P,2017-03-01,2017-03-01,True,2017,4,21,5,2017,3,1,3,2017,3,1,3
