,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
23,mPOS,2017-02-10,mPOS,ODS_POS_0060,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
56,mPOS,2017-02-10,mPOS,ODS_POS_0060,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
97,mPOS,2017-02-08,mPOS,ODS_POS_0060,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
130,mPOS,2017-02-10,mPOS,ODS_POS_0060,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
197,mPOS,2017-02-10,mPOS,ODS_POS_0060,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
273,mPOS,2017-02-14,mPOS,ODS_POS_0060,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
318,mPOS,2017-02-14,mPOS,ODS_POS_0060,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
351,mPOS,2017-02-14,mPOS,ODS_POS_0060,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
384,mPOS,2017-02-14,mPOS,ODS_POS_0060,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
422,mPOS,2017-02-10,mPOS,ODS_POS_0060,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
478,mPOS,2017-02-09,mPOS,ODS_POS_0060,,,True,2017,2,9,4,0,0,0,0,0,0,0,0
514,mPOS,2017-02-09,mPOS,ODS_POS_0060,,,True,2017,2,9,4,0,0,0,0,0,0,0,0
574,mPOS,2017-02-08,mPOS,ODS_POS_0060,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
607,mPOS,2017-02-08,mPOS,ODS_POS_0060,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
640,mPOS,2017-02-08,mPOS,ODS_POS_0060,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
673,mPOS,2017-02-08,mPOS,ODS_POS_0060,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
706,mPOS,2017-02-08,mPOS,ODS_POS_0060,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
740,mPOS,2017-02-08,mPOS,ODS_POS_0060,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
773,mPOS,2017-02-08,mPOS,ODS_POS_0060,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
806,mPOS,2017-02-08,mPOS,ODS_POS_0060,,,True,2017,2,8,3,0,0,0,0,0,0,0,0
