,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1534,001340,2017-04-19,001340,ODS_RI_0390,2017-04-30,2017-04-30,True,2017,4,19,3,2017,4,30,7,2017,4,30,7
2747,001993,2017-04-19,001993,ODS_RI_0390,2017-01-31,2017-01-31,True,2017,4,19,3,2017,1,31,2,2017,1,31,2
5320,weiting,2017-02-13,weiting,ODS_RI_0390,2017-01-31,2017-01-31,True,2017,2,13,1,2017,1,31,2,2017,1,31,2
11059,yenchin,2017-03-14,yenchin,ODS_RI_0390,2016-02-01,2016-02-01,True,2017,3,14,2,2016,2,1,1,2016,2,1,1
11060,yenchin,2017-03-14,yenchin,ODS_RI_0390,2016-01-10,2016-01-10,True,2017,3,14,2,2016,1,10,7,2016,1,10,7
11248,001993,2017-03-13,001993,ODS_RI_0390,2017-01-03,2017-01-03,True,2017,3,13,1,2017,1,3,2,2017,1,3,2
11250,001993,2017-03-13,001993,ODS_RI_0390,2017-01-03,2017-01-03,True,2017,3,13,1,2017,1,3,2,2017,1,3,2
11441,001340,2017-03-14,001340,ODS_RI_0390,2017-01-26,2017-01-26,True,2017,3,14,2,2017,1,26,4,2017,1,26,4
12229,001993,2017-03-16,001993,ODS_RI_0390,2017-01-03,2017-01-03,True,2017,3,16,4,2017,1,3,2,2017,1,3,2
12831,001993,2017-03-16,001993,ODS_RI_0390,2017-01-03,2017-01-03,True,2017,3,16,4,2017,1,3,2,2017,1,3,2
12862,001993,2017-03-16,001993,ODS_RI_0390,2017-01-03,2017-01-03,True,2017,3,16,4,2017,1,3,2,2017,1,3,2
13187,001993,2017-03-16,001993,ODS_RI_0390,2017-01-03,2017-01-03,True,2017,3,16,4,2017,1,3,2,2017,1,3,2
13346,001698,2017-03-16,001698,ODS_RI_0390,2017-01-03,2017-01-03,True,2017,3,16,4,2017,1,3,2,2017,1,3,2
13347,001993,2017-03-16,001993,ODS_RI_0390,2017-01-03,2017-01-03,True,2017,3,16,4,2017,1,3,2,2017,1,3,2
13348,001993,2017-03-16,001993,ODS_RI_0390,2017-01-03,2017-01-03,True,2017,3,16,4,2017,1,3,2,2017,1,3,2
13349,001993,2017-03-16,001993,ODS_RI_0390,2017-01-03,2017-01-03,True,2017,3,16,4,2017,1,3,2,2017,1,3,2
17617,001340,2017-03-28,001340,ODS_RI_0390,2017-03-31,2017-03-31,True,2017,3,28,2,2017,3,31,5,2017,3,31,5
17618,001340,2017-03-28,001340,ODS_RI_0390,2017-03-01,2017-03-01,True,2017,3,28,2,2017,3,1,3,2017,3,1,3
17619,001340,2017-03-28,001340,ODS_RI_0390,2017-03-01,2017-03-01,True,2017,3,28,2,2017,3,1,3,2017,3,1,3
26411,001340,2017-04-11,001340,ODS_RI_0390,2017-03-31,2017-03-31,True,2017,4,11,2,2017,3,31,5,2017,3,31,5
30447,000802,2017-04-20,000802,ODS_RI_0390,2017-01-03,2017-01-03,True,2017,4,20,4,2017,1,3,2,2017,1,3,2
30449,000802,2017-04-20,000802,ODS_RI_0390,2017-02-28,2017-02-28,True,2017,4,20,4,2017,2,28,2,2017,2,28,2
30451,000802,2017-04-20,000802,ODS_RI_0390,2017-01-10,2017-01-10,True,2017,4,20,4,2017,1,10,2,2017,1,10,2
30453,000802,2017-04-20,000802,ODS_RI_0390,2017-02-27,2017-02-27,True,2017,4,20,4,2017,2,27,1,2017,2,27,1
30977,001340,2017-04-18,001340,ODS_RI_0390,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
30978,001340,2017-04-18,001340,ODS_RI_0390,2017-03-30,2017-03-30,True,2017,4,18,2,2017,3,30,4,2017,3,30,4
31088,001340,2017-04-18,001340,ODS_RI_0390,2017-03-31,2017-03-31,True,2017,4,18,2,2017,3,31,5,2017,3,31,5
