,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1654,000443,2017-04-19,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True,2017,4,19,3,2017,4,30,7,2017,4,30,7
26407,000443,2017-04-11,000443,ODS_SC_6000_P,2017-03-31,2017-03-31,True,2017,4,11,2,2017,3,31,5,2017,3,31,5
26408,000443,2017-04-11,000443,ODS_SC_6000_P,2128-03-31,2128-03-31,True,2017,4,11,2,2128,3,31,3,2128,3,31,3
26436,000443,2017-04-11,000443,ODS_SC_6000_P,2017-03-31,2017-03-31,True,2017,4,11,2,2017,3,31,5,2017,3,31,5
29736,000443,2017-04-17,000443,ODS_SC_6000_P,2017-01-20,2017-01-20,True,2017,4,17,1,2017,1,20,5,2017,1,20,5
29737,000443,2017-04-17,000443,ODS_SC_6000_P,2017-01-20,2017-01-20,True,2017,4,17,1,2017,1,20,5,2017,1,20,5
30549,000443,2017-04-19,000443,ODS_SC_6000_P,2017-05-31,2017-05-31,True,2017,4,19,3,2017,5,31,3,2017,5,31,3
30961,000443,2017-04-18,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
31070,000443,2017-04-18,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
31192,000443,2017-04-18,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
31193,jessie,2017-04-18,jessie,ODS_SC_6000_P,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
31196,000443,2017-04-18,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
31218,000443,2017-04-18,000443,ODS_SC_6000_P,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
