,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1692,000358,2017-02-14,000358,ODS_SC_6210,,2017-02-01,True,2017,2,14,2,0,0,0,0,2017,2,1,3
2902,ricky,2017-02-18,ricky,ODS_SC_6210,2017-01-02,2017-01-02,True,2017,2,18,6,2017,1,2,1,2017,1,2,1
4106,yusiang,2017-02-23,yusiang,ODS_SC_6210,2017-02-20,2017-02-20,True,2017,2,23,4,2017,2,20,1,2017,2,20,1
4442,001308,2017-03-08,001308,ODS_SC_6210,2017-02-28,2017-02-28,True,2017,3,8,3,2017,2,28,2,2017,2,28,2
4809,000358,2017-03-08,000358,ODS_SC_6210,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
5308,user4,2017-02-23,user4,ODS_SC_6210,2017-01-03,2017-01-03,True,2017,2,23,4,2017,1,3,2,2017,1,3,2
7235,user4,2017-02-23,user4,ODS_SC_6210,2017-01-03,2017-01-03,True,2017,2,23,4,2017,1,3,2,2017,1,3,2
9958,yusiang,2017-03-08,yusiang,ODS_SC_6210,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
10031,000358,2017-03-08,000358,ODS_SC_6210,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
10354,000358,2017-03-08,000358,ODS_SC_6210,2017-02-20,2017-02-20,True,2017,3,8,3,2017,2,20,1,2017,2,20,1
10899,001308,2017-03-14,001308,ODS_SC_6210,2017-02-28,2017-02-28,True,2017,3,14,2,2017,2,28,2,2017,2,28,2
12219,001308,2017-03-14,001308,ODS_SC_6210,2017-02-28,2017-02-28,True,2017,3,14,2,2017,2,28,2,2017,2,28,2
