,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
5601,001751,2017-02-15,001751,ODS_UNB_0320,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
5602,001751,2017-02-15,001751,ODS_UNB_0320,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
5603,001751,2017-02-15,001751,ODS_UNB_0320,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
5613,001751,2017-02-15,001751,ODS_UNB_0320,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
5624,001751,2017-02-15,001751,ODS_UNB_0320,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
5625,001751,2017-02-15,001751,ODS_UNB_0320,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
5628,001751,2017-02-15,001751,ODS_UNB_0320,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
11823,user3,2017-03-15,user3,ODS_UNB_0320,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11824,user3,2017-03-15,user3,ODS_UNB_0320,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
15729,shiang,2017-03-21,shiang,ODS_UNB_0320,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
18625,000358,2017-03-27,000358,ODS_UNB_0320,2017-03-01,2017-03-01,True,2017,3,27,1,2017,3,1,3,2017,3,1,3
