,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
17725,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
17727,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18037,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18038,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18039,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18040,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18041,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18042,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18189,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18190,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
19771,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
19772,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
19773,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20119,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20120,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20121,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20122,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20123,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20124,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20125,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20126,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20128,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20129,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20130,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20131,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20133,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20134,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20135,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20138,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20139,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20140,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20141,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20142,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20143,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20144,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20182,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20183,yusiang,2017-03-30,yusiang,SAMPLE_01,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
21511,yusiang,2017-04-06,yusiang,SAMPLE_01,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
