,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
2621,000316,2017-02-20,000316,ODS_INV_7250,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
4041,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4042,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4062,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4063,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4064,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4065,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4066,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4067,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4078,000316,2017-02-22,000316,ODS_INV_7250,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4161,000316,2017-02-23,000316,ODS_INV_7250,,9999-12-31,True,2017,2,23,4,0,0,0,0,0,0,0,0
11260,000316,2017-03-13,000316,ODS_INV_7250,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
24220,000316,2017-04-07,000316,ODS_INV_7250,2017-03-31,2017-03-31,True,2017,4,7,5,2017,3,31,5,2017,3,31,5
25863,000316,2017-04-07,000316,ODS_INV_7250,2017-01-01,2017-03-31,True,2017,4,7,5,2017,1,1,7,2017,3,31,5
29033,000316,2017-04-13,000316,ODS_INV_7250,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
29034,000316,2017-04-13,000316,ODS_INV_7250,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
29038,000316,2017-04-13,000316,ODS_INV_7250,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
29039,000316,2017-04-13,000316,ODS_INV_7250,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
29040,000316,2017-04-13,000316,ODS_INV_7250,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
29079,000316,2017-04-13,000316,ODS_INV_7250,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
