,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1263,000368,2017-02-14,000368,ODS_PA_0460,2016-12-30,2016-12-30,True,2017,2,14,2,2016,12,30,5,2016,12,30,5
1264,000368,2017-02-14,000368,ODS_PA_0460,2017-12-31,2017-12-31,True,2017,2,14,2,2017,12,31,7,2017,12,31,7
4411,000368,2017-03-01,000368,ODS_PA_0460,2017-01-03,2017-01-03,True,2017,3,1,3,2017,1,3,2,2017,1,3,2
4423,000368,2017-03-01,000368,ODS_PA_0460,2017-01-03,2017-01-03,True,2017,3,1,3,2017,1,3,2,2017,1,3,2
4424,000368,2017-03-01,000368,ODS_PA_0460,2016-12-30,2016-12-30,True,2017,3,1,3,2016,12,30,5,2016,12,30,5
4425,000368,2017-03-01,000368,ODS_PA_0460,2017-01-31,2017-01-31,True,2017,3,1,3,2017,1,31,2,2017,1,31,2
4426,000368,2017-03-01,000368,ODS_PA_0460,2017-01-30,2017-01-30,True,2017,3,1,3,2017,1,30,1,2017,1,30,1
5006,000368,2017-03-10,000368,ODS_PA_0460,2017-01-13,2017-01-13,True,2017,3,10,5,2017,1,13,5,2017,1,13,5
5007,000368,2017-03-10,000368,ODS_PA_0460,2017-01-03,2017-01-03,True,2017,3,10,5,2017,1,3,2,2017,1,3,2
5036,000368,2017-03-10,000368,ODS_PA_0460,2017-01-03,2017-01-03,True,2017,3,10,5,2017,1,3,2,2017,1,3,2
5037,000368,2017-03-10,000368,ODS_PA_0460,2017-01-13,2017-01-13,True,2017,3,10,5,2017,1,13,5,2017,1,13,5
5038,000368,2017-03-10,000368,ODS_PA_0460,2017-01-26,2017-01-26,True,2017,3,10,5,2017,1,26,4,2017,1,26,4
6580,000368,2017-03-03,000368,ODS_PA_0460,2017-01-03,2017-01-03,True,2017,3,3,5,2017,1,3,2,2017,1,3,2
6581,000368,2017-03-03,000368,ODS_PA_0460,2017-01-02,2017-01-02,True,2017,3,3,5,2017,1,2,1,2017,1,2,1
6582,000368,2017-03-03,000368,ODS_PA_0460,2017-01-10,2017-01-10,True,2017,3,3,5,2017,1,10,2,2017,1,10,2
7884,000368,2017-03-03,000368,ODS_PA_0460,2017-01-03,2017-01-03,True,2017,3,3,5,2017,1,3,2,2017,1,3,2
7885,000368,2017-03-03,000368,ODS_PA_0460,2017-01-31,2017-01-31,True,2017,3,3,5,2017,1,31,2,2017,1,31,2
7886,000368,2017-03-03,000368,ODS_PA_0460,2017-01-10,2017-01-10,True,2017,3,3,5,2017,1,10,2,2017,1,10,2
7957,000368,2017-03-04,000368,ODS_PA_0460,2017-01-03,2017-01-03,True,2017,3,4,6,2017,1,3,2,2017,1,3,2
