,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
468,000368,2017-02-09,000368,ODS_PA_0701_P,2017-01-31,2017-01-31,True,2017,2,9,4,2017,1,31,2,2017,1,31,2
4170,000368,2017-03-07,000368,ODS_PA_0701_P,2017-01-02,2017-01-02,True,2017,3,7,2,2017,1,2,1,2017,1,2,1
6199,000368,2017-02-09,000368,ODS_PA_0701_P,2017-01-31,2017-01-31,True,2017,2,9,4,2017,1,31,2,2017,1,31,2
6317,000368,2017-02-09,000368,ODS_PA_0701_P,2017-01-31,2017-01-31,True,2017,2,9,4,2017,1,31,2,2017,1,31,2
7671,000368,2017-03-06,000368,ODS_PA_0701_P,2017-01-13,2017-01-13,True,2017,3,6,1,2017,1,13,5,2017,1,13,5
7674,000368,2017-03-06,000368,ODS_PA_0701_P,2017-01-10,2017-01-13,True,2017,3,6,1,2017,1,10,2,2017,1,13,5
8347,000368,2017-03-02,000368,ODS_PA_0701_P,2017-01-03,2017-01-03,True,2017,3,2,4,2017,1,3,2,2017,1,3,2
15066,000368,2017-03-24,000368,ODS_PA_0701_P,2017-01-26,2017-01-26,True,2017,3,24,5,2017,1,26,4,2017,1,26,4
16245,000368,2017-03-24,000368,ODS_PA_0701_P,2017-01-26,2017-01-26,True,2017,3,24,5,2017,1,26,4,2017,1,26,4
16619,000368,2017-03-24,000368,ODS_PA_0701_P,2017-02-27,2017-02-27,True,2017,3,24,5,2017,2,27,1,2017,2,27,1
16856,000368,2017-03-24,000368,ODS_PA_0701_P,2017-01-26,2017-01-26,True,2017,3,24,5,2017,1,26,4,2017,1,26,4
30830,000368,2017-04-18,000368,ODS_PA_0701_P,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
31026,000368,2017-04-18,000368,ODS_PA_0701_P,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
