,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
166,000442,2017-02-09,000442,ODS_FIN_0891,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
167,000442,2017-02-09,000442,ODS_FIN_0891,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
10411,000442,2017-03-11,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,11,6,0,0,0,0,0,0,0,0
11852,000442,2017-03-15,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
11853,000442,2017-03-15,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
12119,000442,2017-03-15,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
12120,000442,2017-03-15,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
14529,000442,2017-03-21,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
14563,000442,2017-03-21,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
14564,000442,2017-03-21,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
15817,000442,2017-03-21,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
17018,000442,2017-03-22,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
17042,000442,2017-03-22,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
17076,000442,2017-03-22,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,22,3,0,0,0,0,0,0,0,0
19825,000442,2017-03-28,000442,ODS_FIN_0891,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
25918,000442,2017-04-07,000442,ODS_FIN_0891,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
26457,000442,2017-04-12,000442,ODS_FIN_0891,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26458,000442,2017-04-12,000442,ODS_FIN_0891,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27286,000442,2017-04-12,000442,ODS_FIN_0891,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
31405,000442,2017-04-20,000442,ODS_FIN_0891,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
31406,000442,2017-04-20,000442,ODS_FIN_0891,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
