,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1411,000768,2017-02-13,000768,ODS_INV_7010,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
1429,000768,2017-04-19,000768,ODS_INV_7020,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1442,000768,2017-04-19,000768,ODS_INV_7020,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1547,000768,2017-04-19,000768,ODS_INV_7020,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1604,000768,2017-04-19,000768,ODS_INV_7011,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1605,000768,2017-04-19,000768,ODS_INV_7020,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1640,000768,2017-04-19,000768,ODS_INV_7020,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1698,000768,2017-02-15,000768,ODS_INV_7180,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
1714,000768,2017-02-15,000768,ODS_INV_7040,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
1717,000768,2017-02-15,000768,ODS_INV_7210,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
1795,000768,2017-02-15,000768,ODS_INV_7210,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
1797,000768,2017-02-15,000768,ODS_INV_7170,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
1800,000768,2017-02-15,000768,ODS_INV_7180,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
1840,000768,2017-02-16,000768,ODS_INV_7040,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
1841,000768,2017-02-16,000768,ODS_INV_7250,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
1843,000768,2017-02-16,000768,ODS_INV_7010,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
1844,000768,2017-02-16,000768,ODS_INV_7010,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
1845,000768,2017-02-16,000768,ODS_INV_7011,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
1846,000768,2017-02-16,000768,ODS_INV_7020,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
2738,000768,2017-02-20,000768,ODS_INV_7170,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
2739,000768,2017-02-20,000768,ODS_INV_7010,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
2762,000768,2017-02-20,000768,ODS_INV_7011,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
2763,000768,2017-02-20,000768,ODS_INV_7010,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
2793,000768,2017-02-16,000768,ODS_INV_7171,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
2794,000768,2017-02-16,000768,ODS_INV_7171,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
2795,000768,2017-02-16,000768,ODS_INV_7171,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
2796,000768,2017-02-16,000768,ODS_INV_7171,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
2874,000768,2017-04-19,000768,LS_INV_0010,2017-04-05,2017-04-05,True,2017,4,19,3,2017,4,5,3,2017,4,5,3
2896,000768,2017-02-18,000768,ODS_INV_7180,,9999-12-31,True,2017,2,18,6,0,0,0,0,0,0,0,0
2897,000768,2017-02-18,000768,ODS_INV_7250,,9999-12-31,True,2017,2,18,6,0,0,0,0,0,0,0,0
2899,000768,2017-02-18,000768,ODS_INV_7160,,9999-12-31,True,2017,2,18,6,0,0,0,0,0,0,0,0
2928,000768,2017-02-18,000768,ODS_INV_7160,,9999-12-31,True,2017,2,18,6,0,0,0,0,0,0,0,0
2963,000768,2017-02-17,000768,ODS_INV_7170,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
2970,000768,2017-02-17,000768,ODS_INV_7170,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
