,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1152,000802,2017-04-19,000802,ODS_RI_0170,2017-01-31,2017-01-31,True,2017,4,19,3,2017,1,31,2,2017,1,31,2
1153,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True,2017,4,19,3,2017,1,3,2,2017,1,3,2
1154,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True,2017,4,19,3,2017,1,3,2,2017,1,3,2
1516,000802,2017-04-19,000802,ODS_RI_0170,2017-04-30,2017-04-30,True,2017,4,19,3,2017,4,30,7,2017,4,30,7
1524,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True,2017,4,19,3,2017,1,3,2,2017,1,3,2
1531,000802,2017-04-19,000802,ODS_RI_0170,2017-01-31,2017-01-31,True,2017,4,19,3,2017,1,31,2,2017,1,31,2
1532,000802,2017-04-19,000802,ODS_RI_0170,2017-01-31,2017-01-31,True,2017,4,19,3,2017,1,31,2,2017,1,31,2
1533,000802,2017-04-19,000802,ODS_RI_0170,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
2766,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True,2017,4,19,3,2017,1,3,2,2017,1,3,2
2780,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True,2017,4,19,3,2017,1,3,2,2017,1,3,2
2797,000802,2017-04-19,000802,ODS_RI_0170,2017-04-30,2017-04-30,True,2017,4,19,3,2017,4,30,7,2017,4,30,7
2799,000802,2017-04-19,000802,ODS_RI_0170,2017-01-03,2017-01-03,True,2017,4,19,3,2017,1,3,2,2017,1,3,2
2801,000802,2017-04-19,000802,ODS_RI_0170,2017-01-31,2017-01-31,True,2017,4,19,3,2017,1,31,2,2017,1,31,2
30462,000802,2017-04-19,000802,ODS_RI_0170,2017-04-30,2017-04-30,True,2017,4,19,3,2017,4,30,7,2017,4,30,7
31684,000802,2017-04-19,000802,ODS_RI_0170,2017-01-10,2017-01-10,True,2017,4,19,3,2017,1,10,2,2017,1,10,2
31745,000802,2017-04-19,000802,ODS_RI_0170,2017-01-31,2017-01-31,True,2017,4,19,3,2017,1,31,2,2017,1,31,2
