,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
10028,000923,2017-03-08,000923,FMT_POS_0250,0106-01-27,2017-01-26,True,2017,3,8,3,106,1,27,3,2017,1,26,4
10029,000923,2017-03-08,000923,FMT_POS_0250,2017-01-26,2017-01-26,True,2017,3,8,3,2017,1,26,4,2017,1,26,4
20738,000923,2017-03-28,000923,FMT_POS_0250,2017-03-31,2017-03-31,True,2017,3,28,2,2017,3,31,5,2017,3,31,5
20739,000923,2017-03-28,000923,FMT_POS_0250,2017-03-31,2017-03-31,True,2017,3,28,2,2017,3,31,5,2017,3,31,5
28066,000923,2017-04-13,000923,FMT_POS_0250,2017-04-30,2017-04-30,True,2017,4,13,4,2017,4,30,7,2017,4,30,7
29150,000923,2017-04-17,000923,FMT_POS_0250,2017-04-01,2017-05-31,True,2017,4,17,1,2017,4,1,6,2017,5,31,3
29221,000923,2017-04-17,000923,FMT_POS_0250,2017-04-01,2017-05-31,True,2017,4,17,1,2017,4,1,6,2017,5,31,3
29327,000923,2017-04-17,000923,FMT_POS_0250,2017-04-01,2017-05-31,True,2017,4,17,1,2017,4,1,6,2017,5,31,3
29537,000923,2017-04-17,000923,FMT_POS_0250,2017-04-01,2017-05-31,True,2017,4,17,1,2017,4,1,6,2017,5,31,3
30245,000923,2017-04-13,000923,FMT_POS_0250,2017-04-30,2017-04-30,True,2017,4,13,4,2017,4,30,7,2017,4,30,7
30246,000923,2017-04-13,000923,FMT_POS_0250,2017-04-30,2017-04-30,True,2017,4,13,4,2017,4,30,7,2017,4,30,7
30247,000923,2017-04-13,000923,FMT_POS_0250,2017-04-30,2017-04-30,True,2017,4,13,4,2017,4,30,7,2017,4,30,7
31690,000923,2017-04-19,000923,FMT_POS_0250,2017-05-31,2017-05-31,True,2017,4,19,3,2017,5,31,3,2017,5,31,3
