,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4272,001076,2017-03-02,001076,ODS_CLM_0580,2016-01-06,2016-01-06,True,2017,3,2,4,2016,1,6,3,2016,1,6,3
4273,001076,2017-03-02,001076,ODS_CLM_0580,2016-01-07,2016-01-07,True,2017,3,2,4,2016,1,7,4,2016,1,7,4
4290,001076,2017-03-02,001076,ODS_CLM_0580,2016-01-08,2016-01-08,True,2017,3,2,4,2016,1,8,5,2016,1,8,5
8202,001076,2017-03-02,001076,ODS_CLM_0580,2016-01-11,2016-01-11,True,2017,3,2,4,2016,1,11,1,2016,1,11,1
12204,001076,2017-03-15,001076,ODS_CLM_0580,2016-12-13,2016-12-13,True,2017,3,15,3,2016,12,13,2,2016,12,13,2
12205,001076,2017-03-15,001076,ODS_CLM_0580,2016-01-06,2016-01-06,True,2017,3,15,3,2016,1,6,3,2016,1,6,3
17914,001076,2017-03-30,001076,ODS_CLM_0580,2017-03-01,2017-03-01,True,2017,3,30,4,2017,3,1,3,2017,3,1,3
18595,001076,2017-03-27,001076,ODS_CLM_0580,2017-01-01,2017-01-01,True,2017,3,27,1,2017,1,1,7,2017,1,1,7
26782,001076,2017-04-12,001076,ODS_CLM_0580,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
29325,001076,2017-04-17,001076,ODS_CLM_0580,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
29561,001076,2017-04-17,001076,ODS_CLM_0580,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
30185,001076,2017-04-17,001076,ODS_CLM_0580,2017-04-30,2017-04-30,True,2017,4,17,1,2017,4,30,7,2017,4,30,7
