,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4710,001308,2017-03-08,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,8,3,2017,2,28,2,2017,2,28,2
4711,001308,2017-03-08,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,8,3,2017,2,28,2,2017,2,28,2
7163,001308,2017-02-16,001308,ODS_SC_6200,2016-01-31,2016-01-31,True,2017,2,16,4,2016,1,31,7,2016,1,31,7
7168,001308,2017-02-16,001308,ODS_SC_6200,2016-01-31,2016-01-31,True,2017,2,16,4,2016,1,31,7,2016,1,31,7
7431,001308,2017-03-01,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,1,3,2017,2,28,2,2017,2,28,2
7432,001308,2017-03-01,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,1,3,2017,2,28,2,2017,2,28,2
7433,001308,2017-03-01,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,1,3,2017,2,28,2,2017,2,28,2
7434,001308,2017-03-01,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,1,3,2017,2,28,2,2017,2,28,2
7676,001308,2017-03-01,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,1,3,2017,2,28,2,2017,2,28,2
7678,001308,2017-03-01,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,1,3,2017,2,28,2,2017,2,28,2
8221,001308,2017-03-02,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,2,4,2017,2,28,2,2017,2,28,2
8222,001308,2017-03-02,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,2,4,2017,2,28,2,2017,2,28,2
8223,001308,2017-03-02,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,2,4,2017,2,28,2,2017,2,28,2
8224,001308,2017-03-02,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,2,4,2017,2,28,2,2017,2,28,2
10781,001308,2017-03-14,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,14,2,2017,2,28,2,2017,2,28,2
10782,001308,2017-03-14,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,14,2,2017,2,28,2,2017,2,28,2
10783,001308,2017-03-14,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,14,2,2017,2,28,2,2017,2,28,2
10784,001308,2017-03-14,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,14,2,2017,2,28,2,2017,2,28,2
10900,001308,2017-03-14,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,14,2,2017,2,28,2,2017,2,28,2
10901,001308,2017-03-14,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,14,2,2017,2,28,2,2017,2,28,2
10902,001308,2017-03-14,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,14,2,2017,2,28,2,2017,2,28,2
11704,001308,2017-03-14,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,14,2,2017,2,28,2,2017,2,28,2
12514,001308,2017-03-18,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,18,6,2017,2,28,2,2017,2,28,2
12515,001308,2017-03-18,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,18,6,2017,2,28,2,2017,2,28,2
13035,001308,2017-03-16,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,16,4,2017,2,28,2,2017,2,28,2
13036,001308,2017-03-16,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,16,4,2017,2,28,2,2017,2,28,2
13037,001308,2017-03-16,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,16,4,2017,2,28,2,2017,2,28,2
13038,001308,2017-03-16,001308,ODS_SC_6200,2017-01-31,2017-01-31,True,2017,3,16,4,2017,1,31,2,2017,1,31,2
13039,001308,2017-03-16,001308,ODS_SC_6200,2017-01-31,2017-01-31,True,2017,3,16,4,2017,1,31,2,2017,1,31,2
13040,001308,2017-03-16,001308,ODS_SC_6200,2017-01-31,2017-01-31,True,2017,3,16,4,2017,1,31,2,2017,1,31,2
13355,001308,2017-03-16,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,16,4,2017,2,28,2,2017,2,28,2
13356,001308,2017-03-16,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,16,4,2017,2,28,2,2017,2,28,2
13357,001308,2017-03-16,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,16,4,2017,2,28,2,2017,2,28,2
13358,001308,2017-03-16,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,16,4,2017,2,28,2,2017,2,28,2
13371,001308,2017-03-16,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,16,4,2017,2,28,2,2017,2,28,2
13372,001308,2017-03-16,001308,ODS_SC_6200,2017-03-01,2017-03-01,True,2017,3,16,4,2017,3,1,3,2017,3,1,3
13373,001308,2017-03-16,001308,ODS_SC_6200,2017-02-28,2017-02-28,True,2017,3,16,4,2017,2,28,2,2017,2,28,2
17641,001308,2017-03-31,001308,ODS_SC_6200,2017-03-31,2017-03-31,True,2017,3,31,5,2017,3,31,5,2017,3,31,5
24537,001308,2017-04-08,001308,ODS_SC_6200,2017-03-31,2017-03-31,True,2017,4,8,6,2017,3,31,5,2017,3,31,5
