,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4230,001415,2017-02-24,001415,FMT_PA_0851,2016-12-01,2017-02-24,True,2017,2,24,5,2016,12,1,4,2017,2,24,5
4233,001415,2017-02-24,001415,FMT_PA_0851,2016-12-01,2017-02-24,True,2017,2,24,5,2016,12,1,4,2017,2,24,5
6061,001415,2017-02-22,001415,FMT_PA_0851,2017-01-01,2017-02-22,True,2017,2,22,3,2017,1,1,7,2017,2,22,3
7077,001415,2017-02-16,001415,FMT_PA_0851,2017-02-01,2017-02-16,True,2017,2,16,4,2017,2,1,3,2017,2,16,4
7079,001415,2017-02-16,001415,FMT_PA_0851,2017-02-01,2017-02-16,True,2017,2,16,4,2017,2,1,3,2017,2,16,4
7427,001415,2017-03-02,001415,FMT_PA_0851,2017-01-01,2017-03-02,True,2017,3,2,4,2017,1,1,7,2017,3,2,4
8312,001415,2017-03-02,001415,FMT_PA_0851,2016-12-01,2017-03-02,True,2017,3,2,4,2016,12,1,4,2017,3,2,4
11870,001415,2017-03-15,001415,FMT_PA_0851,2017-01-01,2017-03-15,True,2017,3,15,3,2017,1,1,7,2017,3,15,3
11872,001415,2017-03-15,001415,FMT_PA_0851,2017-02-02,2017-02-02,True,2017,3,15,3,2017,2,2,4,2017,2,2,4
12823,001415,2017-03-18,001415,FMT_PA_0851,2017-02-02,2017-03-18,True,2017,3,18,6,2017,2,2,4,2017,3,18,6
19061,001415,2017-03-29,001415,FMT_PA_0851,2017-02-28,2017-02-28,True,2017,3,29,3,2017,2,28,2,2017,2,28,2
20062,001415,2017-03-28,001415,FMT_PA_0851,2017-02-27,2017-02-27,True,2017,3,28,2,2017,2,27,1,2017,2,27,1
23730,001415,2017-04-07,001415,FMT_PA_0851,2017-02-27,2017-02-27,True,2017,4,7,5,2017,2,27,1,2017,2,27,1
24529,001415,2017-04-08,001415,FMT_PA_0851,2017-02-28,2017-02-28,True,2017,4,8,6,2017,2,28,2,2017,2,28,2
26529,001415,2017-04-10,001415,FMT_PA_0851,2012-01-01,2020-01-01,True,2017,4,10,1,2012,1,1,7,2020,1,1,3
27518,001415,2017-04-11,001415,FMT_PA_0851,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
27585,001415,2017-04-11,001415,FMT_PA_0851,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
27586,001415,2017-04-11,001415,FMT_PA_0851,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
27874,001415,2017-04-11,001415,FMT_PA_0851,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
30556,001415,2017-04-21,001415,FMT_PA_0851,2017-04-30,2017-04-30,True,2017,4,21,5,2017,4,30,7,2017,4,30,7
30826,001415,2017-04-18,001415,FMT_PA_0851,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
31227,001415,2017-04-21,001415,FMT_PA_0851,2017-04-30,2017-04-30,True,2017,4,21,5,2017,4,30,7,2017,4,30,7
