,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
17697,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
17906,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
17907,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
17909,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
17910,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
17926,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
17931,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
17960,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18186,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
19682,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20004,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20044,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20045,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20077,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20081,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20178,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20496,001980,2017-03-30,001980,ODS_POS_0930,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
