,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
14861,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
14862,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
14863,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15133,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15134,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15208,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15209,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15210,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15231,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15233,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15234,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15235,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15246,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15272,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15275,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15474,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15477,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15478,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15479,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15480,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15482,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
15707,002178,2017-03-25,002178,#POLICY#,,9999-12-31,True,2017,3,25,6,0,0,0,0,0,0,0,0
17917,002178,2017-03-31,002178,#POLICY#,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
17932,002178,2017-03-31,002178,#POLICY#,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
21090,002178,2017-03-31,002178,#POLICY#,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
21118,002178,2017-03-31,002178,#POLICY#,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
21143,002178,2017-03-31,002178,#POLICY#,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
