,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4940,002266,2017-03-10,002266,ODS_UNB_0460,2017-01-26,2017-01-26,True,2017,3,10,5,2017,1,26,4,2017,1,26,4
5803,002266,2017-03-10,002266,ODS_UNB_0460,2017-01-26,2017-01-26,True,2017,3,10,5,2017,1,26,4,2017,1,26,4
8650,002266,2017-03-10,002266,ODS_UNB_0460,2017-01-26,2017-01-26,True,2017,3,10,5,2017,1,26,4,2017,1,26,4
15052,002266,2017-03-25,002266,ODS_UNB_0460,2017-02-28,2017-02-28,True,2017,3,25,6,2017,2,28,2,2017,2,28,2
15053,002266,2017-03-25,002266,ODS_UNB_0460,2017-02-28,2017-02-28,True,2017,3,25,6,2017,2,28,2,2017,2,28,2
15054,002266,2017-03-25,002266,ODS_UNB_0460,2017-03-01,2017-03-01,True,2017,3,25,6,2017,3,1,3,2017,3,1,3
15055,002266,2017-03-25,002266,ODS_UNB_0460,2017-01-10,2017-01-10,True,2017,3,25,6,2017,1,10,2,2017,1,10,2
15056,002266,2017-03-25,002266,ODS_UNB_0460,2017-01-03,2017-01-03,True,2017,3,25,6,2017,1,3,2,2017,1,3,2
15057,002266,2017-03-25,002266,ODS_UNB_0460,2017-01-26,2017-01-26,True,2017,3,25,6,2017,1,26,4,2017,1,26,4
30466,002266,2017-04-19,002266,ODS_UNB_0460,2017-04-05,2017-04-05,True,2017,4,19,3,2017,4,5,3,2017,4,5,3
30502,002266,2017-04-19,002266,ODS_UNB_0460,2017-02-02,2017-02-02,True,2017,4,19,3,2017,2,2,4,2017,2,2,4
31620,002266,2017-04-19,002266,ODS_UNB_0460,2017-02-07,2017-02-07,True,2017,4,19,3,2017,2,7,2,2017,2,7,2
31625,002266,2017-04-19,002266,ODS_UNB_0460,2017-04-05,2017-04-05,True,2017,4,19,3,2017,4,5,3,2017,4,5,3
31691,002266,2017-04-19,002266,ODS_UNB_0460,2017-04-30,2017-04-30,True,2017,4,19,3,2017,4,30,7,2017,4,30,7
31695,002266,2017-04-19,002266,ODS_UNB_0460,2017-02-07,2017-02-07,True,2017,4,19,3,2017,2,7,2,2017,2,7,2
