,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
7588,CSIS,2017-03-03,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,3,5,2015,3,11,3,2016,12,1,4
7591,CSIS,2017-03-03,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,3,5,2015,3,11,3,2016,12,1,4
7598,CSIS,2017-03-03,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,3,5,2015,3,11,3,2016,12,1,4
7599,CSIS,2017-03-03,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,3,5,2015,3,11,3,2016,12,1,4
7604,CSIS,2017-03-03,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,3,5,2015,3,11,3,2016,12,1,4
7668,CSIS,2017-03-06,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,6,1,2015,3,11,3,2016,12,1,4
8071,CSIS,2017-03-06,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,6,1,2015,3,11,3,2016,12,1,4
8484,CSIS,2017-03-07,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
8485,CSIS,2017-03-07,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
8670,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8694,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8726,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8757,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8823,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8845,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8876,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8896,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8982,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
9042,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
9072,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
9104,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
9495,CSIS,2017-03-07,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
9582,CSIS,2017-03-06,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
21141,CSIS,2017-04-01,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,4,1,6,2016,8,7,7,2016,8,16,2
28483,CSIS,2017-04-14,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,4,14,5,2016,8,7,7,2016,8,16,2
