,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1607,CSIS,2017-04-19,CSIS,FMT_POS_0290,2016-08-07,2017-08-16,True,2017,4,19,3,2016,8,7,7,2017,8,16,3
2891,CSIS,2017-02-18,CSIS,FMT_CLM_0010,2016-12-15,2016-12-16,True,2017,2,18,6,2016,12,15,4,2016,12,16,5
2895,CSIS,2017-02-18,CSIS,FMT_CLM_0010,2016-12-15,2016-12-16,True,2017,2,18,6,2016,12,15,4,2016,12,16,5
3752,CSIS,2017-02-21,CSIS,FMT_POS_0470,2016-07-01,2017-08-31,True,2017,2,21,2,2016,7,1,5,2017,8,31,4
4015,CSIS,2017-02-21,CSIS,FMT_POS_0470,2017-02-17,2017-02-18,True,2017,2,21,2,2017,2,17,5,2017,2,18,6
4016,CSIS,2017-02-21,CSIS,FMT_POS_0470,2016-07-01,2017-08-31,True,2017,2,21,2,2016,7,1,5,2017,8,31,4
6867,CSIS,2017-02-14,CSIS,FMT_POS_0190,2016-08-07,2016-08-16,True,2017,2,14,2,2016,8,7,7,2016,8,16,2
6868,CSIS,2017-02-14,CSIS,FMT_POS_0060,2016-08-07,2016-08-16,True,2017,2,14,2,2016,8,7,7,2016,8,16,2
7588,CSIS,2017-03-03,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,3,5,2015,3,11,3,2016,12,1,4
7591,CSIS,2017-03-03,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,3,5,2015,3,11,3,2016,12,1,4
7598,CSIS,2017-03-03,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,3,5,2015,3,11,3,2016,12,1,4
7599,CSIS,2017-03-03,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,3,5,2015,3,11,3,2016,12,1,4
7604,CSIS,2017-03-03,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,3,5,2015,3,11,3,2016,12,1,4
7668,CSIS,2017-03-06,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,6,1,2015,3,11,3,2016,12,1,4
8043,CSIS,2017-03-07,CSIS,ODS_POS_1670,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
8071,CSIS,2017-03-06,CSIS,FMT_POS_0360,2015-03-11,2016-12-01,True,2017,3,6,1,2015,3,11,3,2016,12,1,4
8483,CSIS,2017-03-07,CSIS,ODS_POS_1670,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
8484,CSIS,2017-03-07,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
8485,CSIS,2017-03-07,CSIS,FMT_POS_0360,2016-08-07,2016-08-16,True,2017,3,7,2,2016,8,7,7,2016,8,16,2
8659,CSIS,2017-03-06,CSIS,FMT_POS_0070,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8660,CSIS,2017-03-06,CSIS,FMT_POS_0080,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8661,CSIS,2017-03-06,CSIS,FMT_POS_0090,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8662,CSIS,2017-03-06,CSIS,FMT_POS_0060,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8663,CSIS,2017-03-06,CSIS,FMT_POS_0310,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8664,CSIS,2017-03-06,CSIS,FMT_POS_0100,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8665,CSIS,2017-03-06,CSIS,FMT_POS_0110,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8666,CSIS,2017-03-06,CSIS,FMT_POS_0340,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8667,CSIS,2017-03-06,CSIS,FMT_POS_0130,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8668,CSIS,2017-03-06,CSIS,FMT_POS_0470,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
8669,CSIS,2017-03-06,CSIS,FMT_POS_0150,2016-08-07,2016-08-16,True,2017,3,6,1,2016,8,7,7,2016,8,16,2
