,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
11432,LIFE,2017-03-14,LIFE,FMT_PA_0970,2017-01-26,2017-01-26,True,2017,3,14,2,2017,1,26,4,2017,1,26,4
11433,LIFE,2017-03-14,LIFE,FMT_PA_0970,2017-01-26,2017-01-26,True,2017,3,14,2,2017,1,26,4,2017,1,26,4
11512,LIFE,2017-03-13,LIFE,FMT_PA_0710,2017-01-26,2017-01-26,True,2017,3,13,1,2017,1,26,4,2017,1,26,4
11513,LIFE,2017-03-13,LIFE,FMT_PA_0750,2016-01-26,2016-01-26,True,2017,3,13,1,2016,1,26,2,2016,1,26,2
11514,LIFE,2017-03-13,LIFE,FMT_PA_0750,2016-01-13,2016-01-13,True,2017,3,13,1,2016,1,13,3,2016,1,13,3
11515,LIFE,2017-03-13,LIFE,FMT_PA_0750,2016-01-03,2016-01-03,True,2017,3,13,1,2016,1,3,7,2016,1,3,7
11516,LIFE,2017-03-13,LIFE,FMT_PA_0750,2017-01-03,2017-01-03,True,2017,3,13,1,2017,1,3,2,2017,1,3,2
11517,LIFE,2017-03-13,LIFE,FMT_PA_0750,2017-01-10,2017-01-10,True,2017,3,13,1,2017,1,10,2,2017,1,10,2
11518,LIFE,2017-03-13,LIFE,FMT_PA_0750,2017-01-13,2017-01-13,True,2017,3,13,1,2017,1,13,5,2017,1,13,5
11519,LIFE,2017-03-13,LIFE,#POLICY#,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
