,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
307,calvin,2017-02-14,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
308,calvin,2017-02-14,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
5406,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5408,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5409,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5410,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5414,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5448,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5449,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5450,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5454,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5455,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5459,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
5508,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6792,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6794,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6795,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6798,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6799,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6847,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6871,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6872,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6874,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6922,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6923,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6924,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6925,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6926,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6927,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6929,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6930,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6932,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
6975,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
7020,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
7021,calvin,2017-02-13,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,13,1,0,0,0,0,0,0,0,0
