,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
27261,calvin,2017-04-11,calvin,ODS_POS_1460,2017-03-01,2017-03-01,True,2017,4,11,2,2017,3,1,3,2017,3,1,3
27292,calvin,2017-04-11,calvin,ODS_POS_1460,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
27394,calvin,2017-04-11,calvin,ODS_POS_1460,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
27395,calvin,2017-04-11,calvin,ODS_POS_1460,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
27396,calvin,2017-04-11,calvin,ODS_POS_1460,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
27397,calvin,2017-04-11,calvin,ODS_POS_1460,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
27503,calvin,2017-04-11,calvin,ODS_POS_1460,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
27676,calvin,2017-04-11,calvin,ODS_POS_1460,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
27677,calvin,2017-04-11,calvin,ODS_POS_1460,2017-04-05,2017-04-05,True,2017,4,11,2,2017,4,5,3,2017,4,5,3
30807,calvin,2017-04-18,calvin,ODS_POS_1460,2017-04-05,2017-04-05,True,2017,4,18,2,2017,4,5,3,2017,4,5,3
30809,calvin,2017-04-18,calvin,ODS_POS_1460,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
31032,calvin,2017-04-18,calvin,ODS_POS_1460,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
32272,calvin,2017-04-20,calvin,ODS_POS_1460,2017-04-30,2017-04-30,True,2017,4,20,4,2017,4,30,7,2017,4,30,7
