,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1,calvin,2017-02-10,calvin,ODS_PA_0500_P,2016-11-30,2016-11-30,True,2017,2,10,5,2016,11,30,3,2016,11,30,3
2,calvin,2017-02-10,calvin,ODS_FIN_0573,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
8,calvin,2017-02-10,calvin,ODS_FIN_0740,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
9,calvin,2017-02-10,calvin,ODS_FIN_0741,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
10,calvin,2017-02-10,calvin,ODS_FIN_0742,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
11,calvin,2017-02-10,calvin,ODS_FIN_0743,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
15,calvin,2017-02-10,calvin,ODS_FIN_0761,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
17,calvin,2017-02-10,calvin,ODS_FIN_0783,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
18,calvin,2017-02-10,calvin,ODS_FIN_0784,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
19,calvin,2017-02-10,calvin,ODS_FIN_0785,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
169,calvin,2017-02-10,calvin,ODS_FIN_0571,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
173,calvin,2017-02-08,calvin,ODS_CLM_0440,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
235,calvin,2017-02-10,calvin,ODS_FIN_0570,,9999-12-31,True,2017,2,10,5,0,0,0,0,0,0,0,0
245,calvin,2017-02-09,calvin,ODS_CLM_0440,,9999-12-31,True,2017,2,9,4,0,0,0,0,0,0,0,0
307,calvin,2017-02-14,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
308,calvin,2017-02-14,calvin,ODS_FIN_1040,,9999-12-31,True,2017,2,14,2,0,0,0,0,0,0,0,0
