,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
28112,dennis,2017-04-15,dennis,ODS_UNB_0050,2017-02-02,2017-02-02,True,2017,4,15,6,2017,2,2,4,2017,2,2,4
28954,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True,2017,4,17,1,2017,4,5,3,2017,4,5,3
28955,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True,2017,4,17,1,2017,4,5,3,2017,4,5,3
28980,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True,2017,4,17,1,2017,4,5,3,2017,4,5,3
29134,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True,2017,4,17,1,2017,4,5,3,2017,4,5,3
29565,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True,2017,4,17,1,2017,4,5,3,2017,4,5,3
29748,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True,2017,4,17,1,2017,4,5,3,2017,4,5,3
29781,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True,2017,4,17,1,2017,4,5,3,2017,4,5,3
30174,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True,2017,4,17,1,2017,4,5,3,2017,4,5,3
30182,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True,2017,4,17,1,2017,4,5,3,2017,4,5,3
30183,dennis,2017-04-17,dennis,ODS_UNB_0050,2017-04-05,2017-04-05,True,2017,4,17,1,2017,4,5,3,2017,4,5,3
