,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
11855,jesse,2017-03-15,jesse,ODS_PA_0430,2017-01-03,2017-01-03,True,2017,3,15,3,2017,1,3,2,2017,1,3,2
12980,jesse,2017-03-16,jesse,ODS_PA_0430,2017-02-02,2017-02-02,True,2017,3,16,4,2017,2,2,4,2017,2,2,4
13359,jesse,2017-03-16,jesse,ODS_PA_0430,2017-02-02,2017-02-02,True,2017,3,16,4,2017,2,2,4,2017,2,2,4
13388,jesse,2017-03-16,jesse,ODS_PA_0430,2017-02-02,2017-02-02,True,2017,3,16,4,2017,2,2,4,2017,2,2,4
21513,jesse,2017-04-06,jesse,ODS_PA_0430,2017-03-01,2017-03-01,True,2017,4,6,4,2017,3,1,3,2017,3,1,3
22909,jesse,2017-04-06,jesse,ODS_PA_0430,2017-03-01,2017-03-01,True,2017,4,6,4,2017,3,1,3,2017,3,1,3
28405,jesse,2017-04-13,jesse,ODS_PA_0430,2017-03-31,2017-03-31,True,2017,4,13,4,2017,3,31,5,2017,3,31,5
29614,jesse,2017-04-13,jesse,ODS_PA_0430,2017-03-31,2017-03-31,True,2017,4,13,4,2017,3,31,5,2017,3,31,5
29797,jesse,2017-04-13,jesse,ODS_PA_0430,2017-04-05,2017-04-05,True,2017,4,13,4,2017,4,5,3,2017,4,5,3
30259,jesse,2017-04-13,jesse,ODS_PA_0430,2017-04-05,2017-04-05,True,2017,4,13,4,2017,4,5,3,2017,4,5,3
30264,jesse,2017-04-13,jesse,ODS_PA_0430,2017-03-01,2017-03-01,True,2017,4,13,4,2017,3,1,3,2017,3,1,3
