,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
6747,jesse,2017-02-20,jesse,ODS_PA_0590_P,2016-08-15,2016-08-15,True,2017,2,20,1,2016,8,15,1,2016,8,15,1
6748,jesse,2017-02-20,jesse,ODS_PA_0590_P,2016-08-15,2016-08-15,True,2017,2,20,1,2016,8,15,1,2016,8,15,1
26722,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26730,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26731,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26761,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26828,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26829,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26830,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26870,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26872,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26874,jesse,2017-04-12,jesse,ODS_PA_0590_P,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
