,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
23283,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True,2017,4,7,5,2017,3,31,5,2017,3,31,5
23321,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True,2017,4,7,5,2017,3,31,5,2017,3,31,5
23723,jessie,2017-04-07,jessie,ODS_SC_6211,2017-01-31,2017-01-31,True,2017,4,7,5,2017,1,31,2,2017,1,31,2
23726,jessie,2017-04-07,jessie,ODS_SC_6211,2017-03-31,2017-03-31,True,2017,4,7,5,2017,3,31,5,2017,3,31,5
23727,jessie,2017-04-07,jessie,ODS_SC_6211,2017-03-01,2017-03-01,True,2017,4,7,5,2017,3,1,3,2017,3,1,3
23728,jessie,2017-04-07,jessie,ODS_SC_6210,2017-03-31,2017-03-31,True,2017,4,7,5,2017,3,31,5,2017,3,31,5
23729,jessie,2017-04-07,jessie,ODS_SC_6211,2017-03-31,2017-03-31,True,2017,4,7,5,2017,3,31,5,2017,3,31,5
23731,jessie,2017-04-07,jessie,ODS_SC_6200,2017-01-02,2017-01-02,True,2017,4,7,5,2017,1,2,1,2017,1,2,1
25182,jessie,2017-04-07,jessie,ODS_SC_6200,2017-01-02,2017-01-02,True,2017,4,7,5,2017,1,2,1,2017,1,2,1
25188,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True,2017,4,7,5,2017,3,31,5,2017,3,31,5
25190,jessie,2017-04-07,jessie,ODS_SC_6200,2017-03-31,2017-03-31,True,2017,4,7,5,2017,3,31,5,2017,3,31,5
26321,jessie,2017-04-11,jessie,ODS_SC_6210,2017-03-01,2017-03-01,True,2017,4,11,2,2017,3,1,3,2017,3,1,3
27407,jessie,2017-04-12,jessie,ODS_SC_6211,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
28133,jessie,2017-04-15,jessie,ODS_SC_6210,2017-04-05,2017-04-05,True,2017,4,15,6,2017,4,5,3,2017,4,5,3
28136,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True,2017,4,15,6,0,0,0,0,0,0,0,0
28150,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True,2017,4,15,6,0,0,0,0,0,0,0,0
28151,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True,2017,4,15,6,0,0,0,0,0,0,0,0
28152,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True,2017,4,15,6,0,0,0,0,0,0,0,0
28153,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True,2017,4,15,6,0,0,0,0,0,0,0,0
28325,jessie,2017-04-13,jessie,ODS_SC_6180,2016-12-31,2016-12-31,True,2017,4,13,4,2016,12,31,6,2016,12,31,6
28326,jessie,2017-04-13,jessie,ODS_SC_6180,2016-12-31,2016-12-31,True,2017,4,13,4,2016,12,31,6,2016,12,31,6
28327,jessie,2017-04-13,jessie,ODS_SC_6180,2017-12-31,2017-12-31,True,2017,4,13,4,2017,12,31,7,2017,12,31,7
28328,jessie,2017-04-13,jessie,ODS_SC_6180,2017-04-05,2017-04-05,True,2017,4,13,4,2017,4,5,3,2017,4,5,3
28400,jessie,2017-04-15,jessie,ODS_SC_6030,,9999-12-31,True,2017,4,15,6,0,0,0,0,0,0,0,0
29020,jessie,2017-04-13,jessie,ODS_SC_6800,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
29138,jessie,2017-04-13,jessie,ODS_SC_6170,,9999-12-31,True,2017,4,13,4,0,0,0,0,0,0,0,0
29154,jessie,2017-04-14,jessie,ODS_SC_6030,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
30829,jessie,2017-04-18,jessie,ODS_SC_6800,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
30955,jessie,2017-04-18,jessie,ODS_SC_6050_E,2017-01-20,2017-01-20,True,2017,4,18,2,2017,1,20,5,2017,1,20,5
