,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
228,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
231,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
232,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
233,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
234,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
238,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
955,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
992,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
1061,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
1063,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
1065,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
1066,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
1067,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
1068,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
1070,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
1160,mPOS,2017-02-14,mPOS,FMT_CLM_0020,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
1176,mPOS,2017-02-14,mPOS,FMT_CLM_0020,,,True,2017,2,14,2,0,0,0,0,0,0,0,0
1751,mPOS,2017-02-15,mPOS,FMT_CLM_0020,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
3800,mPOS,2017-02-20,mPOS,FMT_CLM_0020,,,True,2017,2,20,1,0,0,0,0,0,0,0,0
4978,mPOS,2017-03-10,mPOS,FMT_CLM_0020,,,True,2017,3,10,5,0,0,0,0,0,0,0,0
5366,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
5655,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
5656,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
5739,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
5744,mPOS,2017-02-10,mPOS,FMT_CLM_0020,,,True,2017,2,10,5,0,0,0,0,0,0,0,0
6791,mPOS,2017-02-13,mPOS,FMT_CLM_0020,,,True,2017,2,13,1,0,0,0,0,0,0,0,0
6793,mPOS,2017-02-13,mPOS,FMT_CLM_0020,,,True,2017,2,13,1,0,0,0,0,0,0,0,0
6796,mPOS,2017-02-13,mPOS,FMT_CLM_0020,,,True,2017,2,13,1,0,0,0,0,0,0,0,0
6838,mPOS,2017-02-13,mPOS,FMT_CLM_0020,,,True,2017,2,13,1,0,0,0,0,0,0,0,0
6846,mPOS,2017-02-13,mPOS,FMT_CLM_0020,,,True,2017,2,13,1,0,0,0,0,0,0,0,0
6848,mPOS,2017-02-13,mPOS,FMT_CLM_0020,,,True,2017,2,13,1,0,0,0,0,0,0,0,0
6870,mPOS,2017-02-13,mPOS,FMT_CLM_0020,,,True,2017,2,13,1,0,0,0,0,0,0,0,0
7044,mPOS,2017-02-15,mPOS,FMT_CLM_0020,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7046,mPOS,2017-02-15,mPOS,FMT_CLM_0020,,,True,2017,2,15,3,0,0,0,0,0,0,0,0
7065,mPOS,2017-02-09,mPOS,FMT_CLM_0020,,,True,2017,2,9,4,0,0,0,0,0,0,0,0
