,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
15172,mPOS,2017-03-24,mPOS,FMT_PA_0910,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15176,mPOS,2017-03-24,mPOS,FMT_PA_0910,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
15177,mPOS,2017-03-24,mPOS,FMT_PA_0910,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16072,mPOS,2017-03-24,mPOS,FMT_PA_0910,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16107,mPOS,2017-03-24,mPOS,FMT_PA_0910,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16134,mPOS,2017-03-24,mPOS,FMT_PA_0910,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
19791,mPOS,2017-03-28,mPOS,FMT_PA_0910,,,True,2017,3,28,2,0,0,0,0,0,0,0,0
21619,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21630,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21648,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21657,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21669,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21678,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21746,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21755,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2017-04-05,True,2017,4,5,3,2015,4,5,7,2017,4,5,3
21811,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21819,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21830,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21838,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21846,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21857,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
21865,mPOS,2017-04-05,mPOS,FMT_PA_0910,2015-04-05,2015-04-05,True,2017,4,5,3,2015,4,5,7,2015,4,5,7
