,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
10858,mPOS,2017-03-14,mPOS,FMT_UNB_0200,,,True,2017,3,14,2,0,0,0,0,0,0,0,0
11051,mPOS,2017-03-14,mPOS,FMT_UNB_0200,,,True,2017,3,14,2,0,0,0,0,0,0,0,0
11663,mPOS,2017-03-14,mPOS,FMT_UNB_0200,,,True,2017,3,14,2,0,0,0,0,0,0,0,0
12216,mPOS,2017-03-14,mPOS,FMT_UNB_0200,,,True,2017,3,14,2,0,0,0,0,0,0,0,0
12217,mPOS,2017-03-14,mPOS,FMT_UNB_0200,,,True,2017,3,14,2,0,0,0,0,0,0,0,0
12942,mPOS,2017-03-16,mPOS,FMT_UNB_0200,,,True,2017,3,16,4,0,0,0,0,0,0,0,0
13021,mPOS,2017-03-16,mPOS,FMT_UNB_0200,,,True,2017,3,16,4,0,0,0,0,0,0,0,0
14289,mPOS,2017-03-20,mPOS,FMT_UNB_0200,,,True,2017,3,20,1,0,0,0,0,0,0,0,0
15678,mPOS,2017-03-24,mPOS,FMT_UNB_0200,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16176,mPOS,2017-03-24,mPOS,FMT_UNB_0200,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16551,mPOS,2017-03-23,mPOS,FMT_UNB_0200,,,True,2017,3,23,4,0,0,0,0,0,0,0,0
17713,mPOS,2017-03-31,mPOS,FMT_UNB_0200,,,True,2017,3,31,5,0,0,0,0,0,0,0,0
17714,mPOS,2017-03-31,mPOS,FMT_UNB_0200,,,True,2017,3,31,5,0,0,0,0,0,0,0,0
17716,mPOS,2017-03-31,mPOS,FMT_UNB_0200,,,True,2017,3,31,5,0,0,0,0,0,0,0,0
17792,mPOS,2017-03-31,mPOS,FMT_UNB_0200,,,True,2017,3,31,5,0,0,0,0,0,0,0,0
17918,mPOS,2017-03-31,mPOS,FMT_UNB_0200,,,True,2017,3,31,5,0,0,0,0,0,0,0,0
18289,mPOS,2017-03-29,mPOS,FMT_UNB_0200,,,True,2017,3,29,3,0,0,0,0,0,0,0,0
18293,mPOS,2017-03-29,mPOS,FMT_UNB_0200,,,True,2017,3,29,3,0,0,0,0,0,0,0,0
18312,mPOS,2017-03-29,mPOS,FMT_UNB_0200,,,True,2017,3,29,3,0,0,0,0,0,0,0,0
18380,mPOS,2017-03-29,mPOS,FMT_UNB_0200,,,True,2017,3,29,3,0,0,0,0,0,0,0,0
18433,mPOS,2017-03-29,mPOS,FMT_UNB_0200,,,True,2017,3,29,3,0,0,0,0,0,0,0,0
20191,mPOS,2017-03-30,mPOS,FMT_UNB_0200,,,True,2017,3,30,4,0,0,0,0,0,0,0,0
20219,mPOS,2017-03-30,mPOS,FMT_UNB_0200,,,True,2017,3,30,4,0,0,0,0,0,0,0,0
