,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
11846,roxana,2017-03-15,roxana,ODS_FIN_0860,,9999-12-31,True,2017,3,15,3,0,0,0,0,0,0,0,0
15245,roxana,2017-03-21,roxana,ODS_FIN_0860,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
15259,roxana,2017-03-21,roxana,ODS_FIN_0860,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
19428,roxana,2017-03-27,roxana,ODS_FIN_0860,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
19986,roxana,2017-03-27,roxana,ODS_FIN_0860,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
20075,roxana,2017-03-28,roxana,ODS_FIN_0860,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
20084,roxana,2017-03-27,roxana,ODS_FIN_0860,,9999-12-31,True,2017,3,27,1,0,0,0,0,0,0,0,0
21536,roxana,2017-04-06,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
21690,roxana,2017-04-06,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
21705,roxana,2017-04-06,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
21706,roxana,2017-04-06,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
21707,roxana,2017-04-06,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
21720,roxana,2017-04-06,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
21721,roxana,2017-04-06,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
23071,roxana,2017-04-05,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,5,3,0,0,0,0,0,0,0,0
23284,roxana,2017-04-07,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
23285,roxana,2017-04-07,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
23286,roxana,2017-04-07,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
23287,roxana,2017-04-07,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
24365,roxana,2017-04-06,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
24913,roxana,2017-04-05,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,5,3,0,0,0,0,0,0,0,0
25180,roxana,2017-04-07,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
25185,roxana,2017-04-07,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
28111,roxana,2017-04-15,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,15,6,0,0,0,0,0,0,0,0
28132,roxana,2017-04-15,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,15,6,0,0,0,0,0,0,0,0
29471,roxana,2017-04-17,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,17,1,0,0,0,0,0,0,0,0
29918,roxana,2017-04-14,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,14,5,0,0,0,0,0,0,0,0
30874,roxana,2017-04-18,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
30981,roxana,2017-04-18,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,18,2,0,0,0,0,0,0,0,0
31446,roxana,2017-04-19,roxana,ODS_FIN_0860,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
