,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
2293,roxana,2017-02-17,roxana,ODS_INV_7170,,9999-12-31,True,2017,2,17,5,0,0,0,0,0,0,0,0
2642,roxana,2017-02-16,roxana,ODS_INV_7170,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
3658,roxana,2017-02-20,roxana,ODS_INV_7170,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
6744,roxana,2017-02-20,roxana,ODS_INV_7170,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
11274,roxana,2017-03-13,roxana,ODS_INV_7170,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
13839,roxana,2017-03-20,roxana,ODS_INV_7170,,9999-12-31,True,2017,3,20,1,0,0,0,0,0,0,0,0
15296,roxana,2017-03-21,roxana,ODS_INV_7170,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
15405,roxana,2017-03-21,roxana,ODS_INV_7170,,9999-12-31,True,2017,3,21,2,0,0,0,0,0,0,0,0
17705,roxana,2017-03-28,roxana,ODS_INV_7170,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
20748,roxana,2017-03-28,roxana,ODS_INV_7170,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
26591,roxana,2017-04-10,roxana,ODS_INV_7170,,9999-12-31,True,2017,4,10,1,0,0,0,0,0,0,0,0
27672,roxana,2017-04-12,roxana,ODS_INV_7170,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
