,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
2882,shiang,2017-02-20,shiang,ODS_POS_1260,2017-01-31,2017-01-31,True,2017,2,20,1,2017,1,31,2,2017,1,31,2
2883,shiang,2017-02-20,shiang,ODS_POS_1260,2016-11-17,2016-11-17,True,2017,2,20,1,2016,11,17,4,2016,11,17,4
3810,shiang,2017-02-20,shiang,ODS_POS_1260,2016-10-31,2016-10-31,True,2017,2,20,1,2016,10,31,1,2016,10,31,1
3811,shiang,2017-02-20,shiang,ODS_POS_1260,2016-11-17,2016-11-17,True,2017,2,20,1,2016,11,17,4,2016,11,17,4
7513,shiang,2017-03-06,shiang,ODS_POS_1260,2017-01-13,2017-01-13,True,2017,3,6,1,2017,1,13,5,2017,1,13,5
13484,shiang,2017-03-17,shiang,ODS_POS_1260,2017-01-13,2017-01-13,True,2017,3,17,5,2017,1,13,5,2017,1,13,5
19174,shiang,2017-03-27,shiang,ODS_POS_1260,2017-02-07,2017-02-07,True,2017,3,27,1,2017,2,7,2,2017,2,7,2
19175,shiang,2017-03-27,shiang,ODS_POS_1260,2017-02-07,2017-02-07,True,2017,3,27,1,2017,2,7,2,2017,2,7,2
19426,shiang,2017-03-27,shiang,ODS_POS_1260,2017-02-07,2017-02-07,True,2017,3,27,1,2017,2,7,2,2017,2,7,2
20629,shiang,2017-03-31,shiang,ODS_POS_1260,2017-03-01,2017-03-01,True,2017,3,31,5,2017,3,1,3,2017,3,1,3
20630,shiang,2017-03-31,shiang,ODS_POS_1260,2017-02-07,2017-02-07,True,2017,3,31,5,2017,2,7,2,2017,2,7,2
