,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
174,shiang,2017-02-08,shiang,ODS_POS_1330,2017-01-31,2017-01-31,True,2017,2,8,3,2017,1,31,2,2017,1,31,2
175,shiang,2017-02-08,shiang,ODS_POS_1160,,9999-12-31,True,2017,2,8,3,0,0,0,0,0,0,0,0
176,shiang,2017-02-08,shiang,ODS_UNB_0260,2016-01-31,2016-01-31,True,2017,2,8,3,2016,1,31,7,2016,1,31,7
177,shiang,2017-02-08,shiang,ODS_UNB_0260,2017-01-31,2017-01-31,True,2017,2,8,3,2017,1,31,2,2017,1,31,2
1512,shiang,2017-02-15,shiang,ODS_POS_0430,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
1697,shiang,2017-02-15,shiang,ODS_POS_1350_E,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
1923,shiang,2017-02-15,shiang,ODS_POS_1350_E,,9999-12-31,True,2017,2,15,3,0,0,0,0,0,0,0,0
2071,shiang,2017-02-17,shiang,ODS_POS_0780,2017-01-02,2017-01-02,True,2017,2,17,5,2017,1,2,1,2017,1,2,1
2194,shiang,2017-02-16,shiang,ODS_POS_0780,2017-01-31,2017-01-31,True,2017,2,16,4,2017,1,31,2,2017,1,31,2
2195,shiang,2017-02-16,shiang,ODS_POS_0780,2016-10-28,2016-10-28,True,2017,2,16,4,2016,10,28,5,2016,10,28,5
2199,shiang,2017-02-16,shiang,ODS_POS_0781,,9999-12-31,True,2017,2,16,4,0,0,0,0,0,0,0,0
2479,shiang,2017-02-20,shiang,ODS_POS_0430,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
2623,shiang,2017-02-20,shiang,ODS_POS_0430,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
2755,shiang,2017-02-20,shiang,ODS_POS_0770,2017-01-02,2017-01-02,True,2017,2,20,1,2017,1,2,1,2017,1,2,1
2764,shiang,2017-02-20,shiang,ODS_POS_0770,2017-01-02,2017-01-02,True,2017,2,20,1,2017,1,2,1,2017,1,2,1
2769,shiang,2017-02-20,shiang,ODS_POS_0770,2017-01-02,2017-01-02,True,2017,2,20,1,2017,1,2,1,2017,1,2,1
2879,shiang,2017-02-20,shiang,ODS_POS_1130,2016-11-30,2016-11-30,True,2017,2,20,1,2016,11,30,3,2016,11,30,3
2881,shiang,2017-02-20,shiang,ODS_POS_1250,2017-01-31,2017-01-31,True,2017,2,20,1,2017,1,31,2,2017,1,31,2
2882,shiang,2017-02-20,shiang,ODS_POS_1260,2017-01-31,2017-01-31,True,2017,2,20,1,2017,1,31,2,2017,1,31,2
2883,shiang,2017-02-20,shiang,ODS_POS_1260,2016-11-17,2016-11-17,True,2017,2,20,1,2016,11,17,4,2016,11,17,4
2886,shiang,2017-02-20,shiang,ODS_POS_1340,2016-09-30,2016-09-30,True,2017,2,20,1,2016,9,30,5,2016,9,30,5
3014,shiang,2017-02-17,shiang,ODS_POS_1250,2016-01-02,2016-01-02,True,2017,2,17,5,2016,1,2,6,2016,1,2,6
3015,shiang,2017-02-17,shiang,ODS_POS_1250,2017-01-02,2017-01-02,True,2017,2,17,5,2017,1,2,1,2017,1,2,1
3704,shiang,2017-02-20,shiang,ODS_UNB_0690,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
3705,shiang,2017-02-20,shiang,ODS_POS_1130,2016-12-30,2016-12-30,True,2017,2,20,1,2016,12,30,5,2016,12,30,5
3706,shiang,2017-02-20,shiang,ODS_POS_1130,2016-11-30,2016-11-30,True,2017,2,20,1,2016,11,30,3,2016,11,30,3
3707,shiang,2017-02-20,shiang,ODS_POS_1130,2016-12-31,2016-12-31,True,2017,2,20,1,2016,12,31,6,2016,12,31,6
3708,shiang,2017-02-20,shiang,ODS_UNB_0481,2016-12-30,2016-12-30,True,2017,2,20,1,2016,12,30,5,2016,12,30,5
3709,shiang,2017-02-20,shiang,ODS_UNB_0510,,9999-12-31,True,2017,2,20,1,0,0,0,0,0,0,0,0
3798,shiang,2017-02-20,shiang,ODS_POS_0770,2017-01-02,2017-01-02,True,2017,2,20,1,2017,1,2,1,2017,1,2,1
3810,shiang,2017-02-20,shiang,ODS_POS_1260,2016-10-31,2016-10-31,True,2017,2,20,1,2016,10,31,1,2016,10,31,1
3811,shiang,2017-02-20,shiang,ODS_POS_1260,2016-11-17,2016-11-17,True,2017,2,20,1,2016,11,17,4,2016,11,17,4
