,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4672,user1,2017-03-07,user1,FMT_PA_0850,2016-08-31,2017-01-31,True,2017,3,7,2,2016,8,31,3,2017,1,31,2
4673,user1,2017-03-07,user1,FMT_PA_0850,2016-08-31,2017-03-31,True,2017,3,7,2,2016,8,31,3,2017,3,31,5
4804,user1,2017-03-08,user1,FMT_PA_0850,2017-01-01,2017-03-08,True,2017,3,8,3,2017,1,1,7,2017,3,8,3
4821,user1,2017-03-08,user1,FMT_PA_0850,2017-01-01,2017-03-08,True,2017,3,8,3,2017,1,1,7,2017,3,8,3
7655,user1,2017-03-10,user1,FMT_PA_0850,2017-01-01,2017-03-10,True,2017,3,10,5,2017,1,1,7,2017,3,10,5
8185,user1,2017-03-04,user1,FMT_PA_0850,2017-01-10,2017-01-10,True,2017,3,4,6,2017,1,10,2,2017,1,10,2
8212,user1,2017-03-04,user1,FMT_PA_0850,2017-01-10,2017-01-10,True,2017,3,4,6,2017,1,10,2,2017,1,10,2
9770,user1,2017-03-10,user1,FMT_PA_0850,2017-01-01,2017-03-10,True,2017,3,10,5,2017,1,1,7,2017,3,10,5
11666,user1,2017-03-14,user1,FMT_PA_0850,2016-03-01,2017-10-01,True,2017,3,14,2,2016,3,1,2,2017,10,1,7
11678,user1,2017-03-14,user1,FMT_PA_0850,2016-03-01,2017-10-01,True,2017,3,14,2,2016,3,1,2,2017,10,1,7
11679,user1,2017-03-14,user1,FMT_PA_0850,2016-03-01,2017-10-01,True,2017,3,14,2,2016,3,1,2,2017,10,1,7
17587,user1,2017-03-26,user1,FMT_PA_0850,2016-04-01,2017-10-01,True,2017,3,26,7,2016,4,1,5,2017,10,1,7
19766,user1,2017-03-26,user1,FMT_PA_0850,2016-10-01,2017-10-01,True,2017,3,26,7,2016,10,1,6,2017,10,1,7
19770,user1,2017-03-26,user1,FMT_PA_0850,,9999-12-31,True,2017,3,26,7,0,0,0,0,0,0,0,0
27484,user1,2017-04-11,user1,FMT_PA_0850,2017-01-01,2017-04-30,True,2017,4,11,2,2017,1,1,7,2017,4,30,7
