,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4003,user1,2017-02-22,user1,FMT_POS_0190,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4349,user1,2017-02-24,user1,FMT_POS_0190,,9999-12-31,True,2017,2,24,5,0,0,0,0,0,0,0,0
10699,user1,2017-03-13,user1,FMT_POS_0190,,9999-12-31,True,2017,3,13,1,0,0,0,0,0,0,0,0
20685,user1,2017-03-28,user1,FMT_POS_0190,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
20689,user1,2017-03-28,user1,FMT_POS_0190,2017-02-27,2017-02-27,True,2017,3,28,2,2017,2,27,1,2017,2,27,1
26441,user1,2017-04-12,user1,FMT_POS_0190,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26442,user1,2017-04-12,user1,FMT_POS_0190,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26635,user1,2017-04-12,user1,FMT_POS_0190,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26636,user1,2017-04-12,user1,FMT_POS_0190,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26653,user1,2017-04-12,user1,FMT_POS_0190,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
27049,user1,2017-04-12,user1,FMT_POS_0190,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
