,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4512,user1,2017-03-07,user1,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,7,2,2017,1,10,2,2017,1,10,2
4513,user1,2017-03-07,user1,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,7,2,2017,1,10,2,2017,1,10,2
5574,user1,2017-03-07,user1,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,7,2,2017,1,10,2,2017,1,10,2
5582,user1,2017-03-07,user1,FMT_UNB_0090,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
5584,user1,2017-03-07,user1,FMT_UNB_0090,2017-01-13,2017-01-13,True,2017,3,7,2,2017,1,13,5,2017,1,13,5
8513,user1,2017-03-10,user1,FMT_UNB_0090,2017-01-13,2017-01-13,True,2017,3,10,5,2017,1,13,5,2017,1,13,5
8514,user1,2017-03-10,user1,FMT_UNB_0090,2017-01-26,2017-01-26,True,2017,3,10,5,2017,1,26,4,2017,1,26,4
11528,user1,2017-03-13,user1,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,13,1,2017,1,10,2,2017,1,10,2
11529,user1,2017-03-13,user1,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,13,1,2017,1,10,2,2017,1,10,2
11530,user1,2017-03-13,user1,FMT_UNB_0090,2017-01-10,2017-01-10,True,2017,3,13,1,2017,1,10,2,2017,1,10,2
14682,user1,2017-03-23,user1,FMT_UNB_0090,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
14684,user1,2017-03-23,user1,FMT_UNB_0090,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
14685,user1,2017-03-23,user1,FMT_UNB_0090,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
14686,user1,2017-03-23,user1,FMT_UNB_0090,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
14689,user1,2017-03-23,user1,FMT_UNB_0090,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
14846,user1,2017-03-23,user1,FMT_UNB_0090,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
14847,user1,2017-03-23,user1,FMT_UNB_0090,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
14848,user1,2017-03-23,user1,FMT_UNB_0090,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
14850,user1,2017-03-23,user1,FMT_UNB_0090,,9999-12-31,True,2017,3,23,4,0,0,0,0,0,0,0,0
23319,user1,2017-04-07,user1,FMT_UNB_0090,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
23320,user1,2017-04-07,user1,FMT_UNB_0090,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
23401,user1,2017-04-07,user1,FMT_UNB_0090,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
23402,user1,2017-04-07,user1,FMT_UNB_0090,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
23403,user1,2017-04-07,user1,FMT_UNB_0090,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
23404,user1,2017-04-07,user1,FMT_UNB_0090,,9999-12-31,True,2017,4,7,5,0,0,0,0,0,0,0,0
