,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
473,user1,2017-02-10,user1,ODS_POS_1010,2016-11-30,2016-11-30,True,2017,2,10,5,2016,11,30,3,2016,11,30,3
5305,user1,2017-02-15,user1,ODS_POS_1010,2019-01-01,2019-01-01,True,2017,2,15,3,2019,1,1,2,2019,1,1,2
5596,user1,2017-02-15,user1,ODS_POS_1010,2019-01-01,2019-01-01,True,2017,2,15,3,2019,1,1,2,2019,1,1,2
5599,user1,2017-02-15,user1,ODS_POS_1010,2017-01-31,2017-01-31,True,2017,2,15,3,2017,1,31,2,2017,1,31,2
5600,user1,2017-02-15,user1,ODS_POS_1010,2017-01-31,2017-01-31,True,2017,2,15,3,2017,1,31,2,2017,1,31,2
5733,user1,2017-02-10,user1,ODS_POS_1010,2017-12-31,2017-12-31,True,2017,2,10,5,2017,12,31,7,2017,12,31,7
7082,user1,2017-02-15,user1,ODS_POS_1010,2019-01-01,2019-01-01,True,2017,2,15,3,2019,1,1,2,2019,1,1,2
18673,user1,2017-03-27,user1,ODS_POS_1010,2017-03-01,2017-03-01,True,2017,3,27,1,2017,3,1,3,2017,3,1,3
23570,user1,2017-04-07,user1,ODS_POS_1010,2017-02-27,2017-02-27,True,2017,4,7,5,2017,2,27,1,2017,2,27,1
31033,user1,2017-04-18,user1,ODS_POS_1010,2017-05-31,2017-05-31,True,2017,4,18,2,2017,5,31,3,2017,5,31,3
31036,user1,2017-04-18,user1,ODS_POS_1010,2017-04-30,2017-04-30,True,2017,4,18,2,2017,4,30,7,2017,4,30,7
