,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
2887,user10,2017-02-21,user10,ODS_POS_1250,2017-01-02,2017-01-02,True,2017,2,21,2,2017,1,2,1,2017,1,2,1
2888,user10,2017-02-21,user10,ODS_POS_1250,2017-01-02,2017-01-02,True,2017,2,21,2,2017,1,2,1,2017,1,2,1
4030,user10,2017-02-21,user10,FMT_POS_0360,2017-01-01,2017-02-21,True,2017,2,21,2,2017,1,1,7,2017,2,21,2
4031,user10,2017-02-21,user10,FMT_POS_0360,2016-12-29,2017-02-01,True,2017,2,21,2,2016,12,29,4,2017,2,1,3
5720,user10,2017-03-01,user10,ODS_POS_1130,2017-01-03,2017-01-03,True,2017,3,1,3,2017,1,3,2,2017,1,3,2
5721,user10,2017-03-01,user10,ODS_POS_1130,2017-01-10,2017-01-10,True,2017,3,1,3,2017,1,10,2,2017,1,10,2
14638,user10,2017-03-22,user10,LS_INV_0010,2017-03-20,2017-03-20,True,2017,3,22,3,2017,3,20,1,2017,3,20,1
16962,user10,2017-03-22,user10,LS_INV_0030,2017-02-27,2017-02-27,True,2017,3,22,3,2017,2,27,1,2017,2,27,1
16963,user10,2017-03-22,user10,LS_INV_0010,2017-02-27,2017-02-27,True,2017,3,22,3,2017,2,27,1,2017,2,27,1
17622,user10,2017-03-28,user10,FMT_POS_0250,2017-03-01,2017-03-31,True,2017,3,28,2,2017,3,1,3,2017,3,31,5
17636,user10,2017-03-28,user10,FMT_POS_0250,2017-03-01,2016-03-31,True,2017,3,28,2,2017,3,1,3,2016,3,31,4
17637,user10,2017-03-28,user10,FMT_POS_0250,2017-03-01,2017-03-31,True,2017,3,28,2,2017,3,1,3,2017,3,31,5
17737,user10,2017-03-28,user10,FMT_POS_0250,2017-03-01,2014-03-31,True,2017,3,28,2,2017,3,1,3,2014,3,31,1
17739,user10,2017-03-28,user10,FMT_POS_0250,2017-03-01,2014-03-31,True,2017,3,28,2,2017,3,1,3,2014,3,31,1
17749,user10,2017-03-30,user10,ODS_POS_1320,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18188,user10,2017-03-30,user10,FMT_POS_0250,2017-03-01,2017-04-30,True,2017,3,30,4,2017,3,1,3,2017,4,30,7
