,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
5279,user3,2017-03-10,user3,#POLICY#,2017-01-01,2017-02-02,True,2017,3,10,5,2017,1,1,7,2017,2,2,4
5285,user3,2017-03-10,user3,#POLICY#,2017-01-01,2017-02-02,True,2017,3,10,5,2017,1,1,7,2017,2,2,4
5452,user3,2017-03-10,user3,#POLICY#,2017-01-01,2017-02-02,True,2017,3,10,5,2017,1,1,7,2017,2,2,4
5794,user3,2017-03-09,user3,#POLICY#,2017-01-01,2017-01-26,True,2017,3,9,4,2017,1,1,7,2017,1,26,4
9435,user3,2017-03-10,user3,#POLICY#,2017-01-01,2017-02-02,True,2017,3,10,5,2017,1,1,7,2017,2,2,4
9605,user3,2017-03-10,user3,#POLICY#,2017-01-01,2017-02-02,True,2017,3,10,5,2017,1,1,7,2017,2,2,4
9867,user3,2017-03-09,user3,#POLICY#,2017-01-01,2017-02-02,True,2017,3,9,4,2017,1,1,7,2017,2,2,4
9868,user3,2017-03-09,user3,#POLICY#,2017-01-01,2017-02-02,True,2017,3,9,4,2017,1,1,7,2017,2,2,4
9869,user3,2017-03-09,user3,#POLICY#,2017-01-01,2017-02-02,True,2017,3,9,4,2017,1,1,7,2017,2,2,4
9872,user3,2017-03-09,user3,#POLICY#,2017-01-26,2017-02-02,True,2017,3,9,4,2017,1,26,4,2017,2,2,4
10573,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
10574,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
10575,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
10576,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
10577,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-02,True,2017,3,13,1,2017,1,1,7,2017,2,2,4
10578,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
10579,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
10588,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
10723,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
10725,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
10739,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-02,True,2017,3,13,1,2017,1,1,7,2017,2,2,4
10740,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
10741,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
11394,user3,2017-03-13,user3,#POLICY#,2017-01-01,2017-02-07,True,2017,3,13,1,2017,1,1,7,2017,2,7,2
13027,user3,2017-03-16,user3,#POLICY#,2017-01-01,2017-02-27,True,2017,3,16,4,2017,1,1,7,2017,2,27,1
13028,user3,2017-03-16,user3,#POLICY#,2017-01-01,2017-02-27,True,2017,3,16,4,2017,1,1,7,2017,2,27,1
13029,user3,2017-03-16,user3,#POLICY#,2017-01-01,2017-02-27,True,2017,3,16,4,2017,1,1,7,2017,2,27,1
13408,user3,2017-03-16,user3,#POLICY#,2017-01-01,2017-02-27,True,2017,3,16,4,2017,1,1,7,2017,2,27,1
13531,user3,2017-03-16,user3,#POLICY#,2017-01-01,2017-02-27,True,2017,3,16,4,2017,1,1,7,2017,2,27,1
22451,user3,2017-04-05,user3,#POLICY#,,9999-12-31,True,2017,4,5,3,0,0,0,0,0,0,0,0
22453,user3,2017-04-05,user3,#POLICY#,,9999-12-31,True,2017,4,5,3,0,0,0,0,0,0,0,0
22454,user3,2017-04-05,user3,#POLICY#,,9999-12-31,True,2017,4,5,3,0,0,0,0,0,0,0,0
22455,user3,2017-04-05,user3,#POLICY#,,9999-12-31,True,2017,4,5,3,0,0,0,0,0,0,0,0
