,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
4493,user8,2017-03-07,user8,ODS_UNB_0230,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
4494,user8,2017-03-07,user8,ODS_UNB_0230,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
4499,user8,2017-03-07,user8,ODS_UNB_0230,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
4655,user8,2017-03-07,user8,ODS_UNB_0230,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
4656,user8,2017-03-07,user8,ODS_UNB_0230,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
4685,user8,2017-03-07,user8,ODS_UNB_0230,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
4686,user8,2017-03-07,user8,ODS_UNB_0230,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
4689,user8,2017-03-07,user8,ODS_UNB_0230,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
5288,user8,2017-03-07,user8,ODS_UNB_0230,,9999-12-31,True,2017,3,7,2,0,0,0,0,0,0,0,0
10397,user8,2017-03-08,user8,ODS_UNB_0230,,9999-12-31,True,2017,3,8,3,0,0,0,0,0,0,0,0
