,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
5296,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5297,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5298,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5299,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5300,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5301,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5618,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5619,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5620,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5621,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5622,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5623,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5626,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
5627,yusiang,2017-02-15,yusiang,ODS_CLM_0350,2016-01-01,2016-01-01,True,2017,2,15,3,2016,1,1,5,2016,1,1,5
