,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
1439,user4,2017-04-19,user4,#POLICY#,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1445,001713,2017-04-19,001713,#POLICY#,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1525,user6,2017-04-19,user6,#POLICY#,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1592,user4,2017-04-19,user4,#POLICY#,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1606,user4,2017-04-19,user4,#POLICY#,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1630,user4,2017-04-19,user4,#POLICY#,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
1631,001713,2017-04-19,001713,#POLICY#,,9999-12-31,True,2017,4,19,3,0,0,0,0,0,0,0,0
2880,user1,2017-02-20,user1,#POLICY#,2016-10-01,2017-05-01,True,2017,2,20,1,2016,10,1,6,2017,5,1,1
2884,user1,2017-02-20,user1,#POLICY#,2017-02-01,2017-02-03,True,2017,2,20,1,2017,2,1,3,2017,2,3,5
2885,user1,2017-02-20,user1,#POLICY#,2017-01-01,2017-02-03,True,2017,2,20,1,2017,1,1,7,2017,2,3,5
3848,user5,2017-02-21,user5,#POLICY#,2017-01-01,2017-01-10,True,2017,2,21,2,2017,1,1,7,2017,1,10,2
3852,user5,2017-02-21,user5,#POLICY#,2017-01-01,2017-01-01,True,2017,2,21,2,2017,1,1,7,2017,1,1,7
3853,user5,2017-02-21,user5,#POLICY#,2017-01-01,2017-01-10,True,2017,2,21,2,2017,1,1,7,2017,1,10,2
3858,user5,2017-02-21,user5,#POLICY#,2017-01-01,2017-01-10,True,2017,2,21,2,2017,1,1,7,2017,1,10,2
3859,user5,2017-02-21,user5,#POLICY#,2017-01-01,2017-01-10,True,2017,2,21,2,2017,1,1,7,2017,1,10,2
3908,user5,2017-02-22,user5,#POLICY#,2017-01-01,2017-01-10,True,2017,2,22,3,2017,1,1,7,2017,1,10,2
3923,user1,2017-02-21,user1,#POLICY#,0106-01-03,0106-01-04,True,2017,2,21,2,106,1,3,7,106,1,4,1
3924,user1,2017-02-21,user1,#POLICY#,0106-01-02,0106-01-11,True,2017,2,21,2,106,1,2,6,106,1,11,1
3925,user1,2017-02-21,user1,#POLICY#,2016-12-01,2017-02-01,True,2017,2,21,2,2016,12,1,4,2017,2,1,3
3926,user1,2017-02-21,user1,#POLICY#,2017-01-01,2017-02-10,True,2017,2,21,2,2017,1,1,7,2017,2,10,5
3927,user1,2017-02-21,user1,#POLICY#,2017-01-01,2017-01-10,True,2017,2,21,2,2017,1,1,7,2017,1,10,2
3931,user2,2017-02-21,user2,#POLICY#,2017-01-01,2017-01-10,True,2017,2,21,2,2017,1,1,7,2017,1,10,2
3997,esp.admin,2017-02-22,esp.admin,#POLICY#,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4006,yusiang,2017-02-22,yusiang,#POLICY#,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4055,esp.admin,2017-02-22,esp.admin,#POLICY#,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4076,001713,2017-02-22,001713,#POLICY#,,9999-12-31,True,2017,2,22,3,0,0,0,0,0,0,0,0
4154,user1,2017-02-23,user1,#POLICY#,,9999-12-31,True,2017,2,23,4,0,0,0,0,0,0,0,0
4286,user1,2017-03-01,user1,#POLICY#,,9999-12-31,True,2017,3,1,3,0,0,0,0,0,0,0,0
4289,user1,2017-03-01,user1,#POLICY#,,9999-12-31,True,2017,3,1,3,0,0,0,0,0,0,0,0
