,username,query_date,report_name,doc,start_date,end_date,is_period
171,mPOS,2017-02-08,mPOS,FMT_CLM_0010,,,True
172,mPOS,2017-02-08,mPOS,FMT_CLM_0010,,,True
453,mPOS,2017-02-10,mPOS,FMT_CLM_0010,,,True
460,mPOS,2017-02-09,mPOS,FMT_CLM_0010,,,True
561,mPOS,2017-02-14,mPOS,FMT_CLM_0010,,,True
991,mPOS,2017-02-10,mPOS,FMT_CLM_0010,,,True
2637,user1,2017-02-16,user1,FMT_CLM_0010,2016-12-15,2016-12-15,True
2639,mPOS,2017-02-16,mPOS,FMT_CLM_0010,,,True
2891,CSIS,2017-02-18,CSIS,FMT_CLM_0010,2016-12-15,2016-12-16,True
2895,CSIS,2017-02-18,CSIS,FMT_CLM_0010,2016-12-15,2016-12-16,True
4916,mPOS,2017-02-08,mPOS,FMT_CLM_0010,,,True
4921,mPOS,2017-02-08,mPOS,FMT_CLM_0010,,,True
4923,mPOS,2017-02-08,mPOS,FMT_CLM_0010,,,True
4928,mPOS,2017-02-08,mPOS,FMT_CLM_0010,,,True
5916,mPOS,2017-02-08,mPOS,FMT_CLM_0010,,,True
5917,mPOS,2017-02-08,mPOS,FMT_CLM_0010,,,True
6009,mPOS,2017-02-22,mPOS,FMT_CLM_0010,,,True
6045,mPOS,2017-02-22,mPOS,FMT_CLM_0010,,,True
6049,mPOS,2017-02-22,mPOS,FMT_CLM_0010,,,True
6287,mPOS,2017-02-09,mPOS,FMT_CLM_0010,,,True
6312,mPOS,2017-02-09,mPOS,FMT_CLM_0010,,,True
6936,mPOS,2017-02-10,mPOS,FMT_CLM_0010,,,True
6970,mPOS,2017-02-13,mPOS,FMT_CLM_0010,,,True
6971,mPOS,2017-02-13,mPOS,FMT_CLM_0010,,,True
6972,mPOS,2017-02-13,mPOS,FMT_CLM_0010,,,True
7192,mPOS,2017-02-16,mPOS,FMT_CLM_0010,,,True
7317,mPOS,2017-02-22,mPOS,FMT_CLM_0010,,,True
7380,mPOS,2017-03-01,mPOS,FMT_CLM_0010,,,True
8996,CSIS,2017-03-06,CSIS,FMT_CLM_0010,2016-07-15,2016-09-17,True
12222,mPOS,2017-03-15,mPOS,FMT_CLM_0010,,,True
14675,mPOS,2017-03-23,mPOS,FMT_CLM_0010,,,True
14676,mPOS,2017-03-23,mPOS,FMT_CLM_0010,,,True
14898,mPOS,2017-03-22,mPOS,FMT_CLM_0010,,,True
14932,mPOS,2017-03-21,mPOS,FMT_CLM_0010,,,True
15329,mPOS,2017-03-24,mPOS,FMT_CLM_0010,,,True
15810,mPOS,2017-03-21,mPOS,FMT_CLM_0010,,,True
15819,mPOS,2017-03-21,mPOS,FMT_CLM_0010,,,True
15829,mPOS,2017-03-21,mPOS,FMT_CLM_0010,,,True
15834,mPOS,2017-03-21,mPOS,FMT_CLM_0010,,,True
15842,mPOS,2017-03-21,mPOS,FMT_CLM_0010,,,True
15849,mPOS,2017-03-21,mPOS,FMT_CLM_0010,,,True
15850,mPOS,2017-03-21,mPOS,FMT_CLM_0010,,,True
15851,mPOS,2017-03-21,mPOS,FMT_CLM_0010,,,True
15854,mPOS,2017-03-21,mPOS,FMT_CLM_0010,,,True
15858,mPOS,2017-03-21,mPOS,FMT_CLM_0010,,,True
