,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
8076,user2,2017-03-06,user2,FMT_CLM_0090,2016-01-01,2016-01-01,True,2017,3,6,1,2016,1,1,5,2016,1,1,5
8077,user2,2017-03-06,user2,FMT_CLM_0090,2016-05-05,2016-05-05,True,2017,3,6,1,2016,5,5,4,2016,5,5,4
8078,user2,2017-03-06,user2,FMT_CLM_0090,2016-05-05,2016-05-05,True,2017,3,6,1,2016,5,5,4,2016,5,5,4
8079,user2,2017-03-06,user2,FMT_CLM_0090,2016-01-03,2016-01-03,True,2017,3,6,1,2016,1,3,7,2016,1,3,7
8080,user2,2017-03-06,user2,FMT_CLM_0090,2016-01-13,2016-01-13,True,2017,3,6,1,2016,1,13,3,2016,1,13,3
15324,mPOS,2017-03-24,mPOS,FMT_CLM_0090,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16867,mPOS,2017-03-24,mPOS,FMT_CLM_0090,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16879,mPOS,2017-03-24,mPOS,FMT_CLM_0090,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16891,mPOS,2017-03-24,mPOS,FMT_CLM_0090,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16902,mPOS,2017-03-24,mPOS,FMT_CLM_0090,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16909,mPOS,2017-03-24,mPOS,FMT_CLM_0090,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
