,username,query_date,report_name,doc,start_date,end_date,is_period
47,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
80,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
121,mPOS,2017-02-08,mPOS,FMT_PA_0855,,,True
154,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
221,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
297,mPOS,2017-02-14,mPOS,FMT_PA_0855,,,True
342,mPOS,2017-02-14,mPOS,FMT_PA_0855,,,True
375,mPOS,2017-02-14,mPOS,FMT_PA_0855,,,True
408,mPOS,2017-02-14,mPOS,FMT_PA_0855,,,True
446,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
502,mPOS,2017-02-09,mPOS,FMT_PA_0855,,,True
538,mPOS,2017-02-09,mPOS,FMT_PA_0855,,,True
598,mPOS,2017-02-08,mPOS,FMT_PA_0855,,,True
631,mPOS,2017-02-08,mPOS,FMT_PA_0855,,,True
664,mPOS,2017-02-08,mPOS,FMT_PA_0855,,,True
697,mPOS,2017-02-08,mPOS,FMT_PA_0855,,,True
730,mPOS,2017-02-08,mPOS,FMT_PA_0855,,,True
764,mPOS,2017-02-08,mPOS,FMT_PA_0855,,,True
797,mPOS,2017-02-08,mPOS,FMT_PA_0855,,,True
830,mPOS,2017-02-08,mPOS,FMT_PA_0855,,,True
863,mPOS,2017-02-08,mPOS,FMT_PA_0855,,,True
914,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
948,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
985,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
1020,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
1054,mPOS,2017-02-10,mPOS,FMT_PA_0855,,,True
1111,mPOS,2017-02-14,mPOS,FMT_PA_0855,,,True
1144,mPOS,2017-02-14,mPOS,FMT_PA_0855,,,True
1211,mPOS,2017-02-09,mPOS,FMT_PA_0855,,,True
1301,mPOS,2017-02-14,mPOS,FMT_PA_0855,,,True
1338,mPOS,2017-02-14,mPOS,FMT_PA_0855,,,True
1405,mPOS,2017-02-13,mPOS,FMT_PA_0855,,,True
1586,mPOS,2017-04-19,mPOS,FMT_PA_0855,,,True
1745,mPOS,2017-02-15,mPOS,FMT_PA_0855,,,True
1789,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
1831,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
1878,mPOS,2017-02-16,mPOS,FMT_PA_0855,,,True
1915,mPOS,2017-02-15,mPOS,FMT_PA_0855,,,True
1953,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2000,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2031,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2064,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2099,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2140,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2323,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2356,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2389,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2422,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2453,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2510,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2544,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2574,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2608,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
2686,mPOS,2017-02-16,mPOS,FMT_PA_0855,,,True
2730,mPOS,2017-02-16,mPOS,FMT_PA_0855,,,True
2833,mPOS,2017-02-16,mPOS,FMT_PA_0855,,,True
2956,mPOS,2017-02-18,mPOS,FMT_PA_0855,,,True
3007,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
3073,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
3454,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
3479,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
3505,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
3532,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
3560,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
3589,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
3619,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
3649,mPOS,2017-02-17,mPOS,FMT_PA_0855,,,True
3694,mPOS,2017-02-20,mPOS,FMT_PA_0855,,,True
3743,mPOS,2017-02-20,mPOS,FMT_PA_0855,,,True
3790,mPOS,2017-02-18,mPOS,FMT_PA_0855,,,True
3837,mPOS,2017-02-20,mPOS,FMT_PA_0855,,,True
3962,mPOS,2017-02-21,mPOS,FMT_PA_0855,,,True
4317,mPOS,2017-03-02,mPOS,FMT_PA_0855,,,True
4648,mPOS,2017-03-07,mPOS,FMT_PA_0855,,,True
4747,mPOS,2017-03-08,mPOS,FMT_PA_0855,,,True
4859,mPOS,2017-03-09,mPOS,FMT_PA_0855,,,True
4907,mPOS,2017-03-10,mPOS,FMT_PA_0855,,,True
4969,mPOS,2017-03-10,mPOS,FMT_PA_0855,,,True
5118,mPOS,2017-03-10,mPOS,FMT_PA_0855,,,True
5150,mPOS,2017-03-10,mPOS,FMT_PA_0855,,,True
5187,mPOS,2017-03-10,mPOS,FMT_PA_0855,,,True
5223,mPOS,2017-03-10,mPOS,FMT_PA_0855,,,True
5272,mPOS,2017-03-10,mPOS,FMT_PA_0855,,,True
5442,mPOS,2017-02-13,mPOS,FMT_PA_0855,,,True
