,username,query_date,report_name,doc,start_date,end_date,is_period
1591,mPOS,2017-04-19,mPOS,FMT_POS_1670,,,True
2776,user4,2017-02-20,user4,FMT_POS_1670,2016-12-05,2017-02-28,True
3885,user4,2017-02-20,user4,FMT_POS_1670,2016-12-05,2017-02-20,True
4312,mPOS,2017-03-02,mPOS,FMT_POS_1670,,,True
4643,mPOS,2017-03-07,mPOS,FMT_POS_1670,,,True
4742,mPOS,2017-03-08,mPOS,FMT_POS_1670,,,True
4854,mPOS,2017-03-09,mPOS,FMT_POS_1670,,,True
4902,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
4964,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
5113,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
5145,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
5182,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
5218,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
5267,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
5545,mPOS,2017-03-07,mPOS,FMT_POS_1670,,,True
5684,mPOS,2017-03-02,mPOS,FMT_POS_1670,,,True
6616,mPOS,2017-03-03,mPOS,FMT_POS_1670,,,True
6655,mPOS,2017-03-03,mPOS,FMT_POS_1670,,,True
7488,mPOS,2017-03-02,mPOS,FMT_POS_1670,,,True
7565,mPOS,2017-03-06,mPOS,FMT_POS_1670,,,True
7638,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
7691,user2,2017-03-06,user2,FMT_POS_1670,2017-01-01,2017-03-06,True
7696,user2,2017-03-06,user2,FMT_POS_1670,2017-01-01,2017-03-06,True
7938,mPOS,2017-03-03,mPOS,FMT_POS_1670,,,True
8118,mPOS,2017-03-06,mPOS,FMT_POS_1670,,,True
8152,mPOS,2017-03-06,mPOS,FMT_POS_1670,,,True
8265,mPOS,2017-03-04,mPOS,FMT_POS_1670,,,True
8587,mPOS,2017-03-07,mPOS,FMT_POS_1670,,,True
8628,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
9255,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
9294,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
9326,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
9379,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
9411,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
9560,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
9635,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
9679,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
9715,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
9754,mPOS,2017-03-10,mPOS,FMT_POS_1670,,,True
9818,mPOS,2017-03-07,mPOS,FMT_POS_1670,,,True
9894,mPOS,2017-03-09,mPOS,FMT_POS_1670,,,True
9944,mPOS,2017-03-08,mPOS,FMT_POS_1670,,,True
10091,mPOS,2017-03-08,mPOS,FMT_POS_1670,,,True
10156,mPOS,2017-03-08,mPOS,FMT_POS_1670,,,True
10610,mPOS,2017-03-13,mPOS,FMT_POS_1670,,,True
10643,mPOS,2017-03-13,mPOS,FMT_POS_1670,,,True
10688,mPOS,2017-03-13,mPOS,FMT_POS_1670,,,True
10769,mPOS,2017-03-14,mPOS,FMT_POS_1670,,,True
10886,mPOS,2017-03-14,mPOS,FMT_POS_1670,,,True
10932,mPOS,2017-03-14,mPOS,FMT_POS_1670,,,True
10964,mPOS,2017-03-14,mPOS,FMT_POS_1670,,,True
11002,mPOS,2017-03-14,mPOS,FMT_POS_1670,,,True
11034,mPOS,2017-03-14,mPOS,FMT_POS_1670,,,True
11131,mPOS,2017-03-14,mPOS,FMT_POS_1670,,,True
11164,mPOS,2017-03-14,mPOS,FMT_POS_1670,,,True
11221,mPOS,2017-03-14,mPOS,FMT_POS_1670,,,True
11299,mPOS,2017-03-13,mPOS,FMT_POS_1670,,,True
11357,mPOS,2017-03-13,mPOS,FMT_POS_1670,,,True
11641,mPOS,2017-03-15,mPOS,FMT_POS_1670,,,True
11740,user19,2017-03-15,user19,FMT_POS_1670,2000-05-01,2027-03-31,True
11896,mPOS,2017-03-15,mPOS,FMT_POS_1670,,,True
11929,mPOS,2017-03-15,mPOS,FMT_POS_1670,,,True
12003,mPOS,2017-03-15,mPOS,FMT_POS_1670,,,True
12046,mPOS,2017-03-15,mPOS,FMT_POS_1670,,,True
12170,mPOS,2017-03-15,mPOS,FMT_POS_1670,,,True
12286,mPOS,2017-03-17,mPOS,FMT_POS_1670,,,True
12394,mPOS,2017-03-17,mPOS,FMT_POS_1670,,,True
12426,mPOS,2017-03-17,mPOS,FMT_POS_1670,,,True
12484,mPOS,2017-03-17,mPOS,FMT_POS_1670,,,True
12593,mPOS,2017-03-17,mPOS,FMT_POS_1670,,,True
12697,mPOS,2017-03-16,mPOS,FMT_POS_1670,,,True
12885,mPOS,2017-03-16,mPOS,FMT_POS_1670,,,True
13003,mPOS,2017-03-16,mPOS,FMT_POS_1670,,,True
13113,mPOS,2017-03-17,mPOS,FMT_POS_1670,,,True
13289,mPOS,2017-03-16,mPOS,FMT_POS_1670,,,True
13655,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
13688,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
13741,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
13776,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
13878,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
14002,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
14061,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
14113,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
14159,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
14220,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
14253,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
14313,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
14377,mPOS,2017-03-20,mPOS,FMT_POS_1670,,,True
14435,mPOS,2017-03-21,mPOS,FMT_POS_1670,,,True
14468,mPOS,2017-03-21,mPOS,FMT_POS_1670,,,True
14502,mPOS,2017-03-21,mPOS,FMT_POS_1670,,,True
14551,mPOS,2017-03-21,mPOS,FMT_POS_1670,,,True
14616,mPOS,2017-03-21,mPOS,FMT_POS_1670,,,True
14734,mPOS,2017-03-22,mPOS,FMT_POS_1670,,,True
14820,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
14990,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
15034,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
15106,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
15516,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
15531,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
15539,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
15540,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
15563,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
15618,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
15757,mPOS,2017-03-21,mPOS,FMT_POS_1670,,,True
15957,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
16197,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
16268,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
16376,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
16413,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
16472,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
16491,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
16530,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
16577,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
16642,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
16674,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
16706,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
16738,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
16789,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
16814,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
16820,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
16998,mPOS,2017-03-24,mPOS,FMT_POS_1670,,,True
17212,mPOS,2017-03-21,mPOS,FMT_POS_1670,,,True
17274,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
17315,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
17415,mPOS,2017-03-23,mPOS,FMT_POS_1670,,,True
17573,mPOS,2017-03-31,mPOS,FMT_POS_1670,,,True
17664,mPOS,2017-03-31,mPOS,FMT_POS_1670,,,True
17776,mPOS,2017-03-30,mPOS,FMT_POS_1670,,,True
17815,mPOS,2017-03-31,mPOS,FMT_POS_1670,,,True
17890,mPOS,2017-03-30,mPOS,FMT_POS_1670,,,True
18063,mPOS,2017-03-30,mPOS,FMT_POS_1670,,,True
18148,mPOS,2017-03-30,mPOS,FMT_POS_1670,,,True
18222,mPOS,2017-03-29,mPOS,FMT_POS_1670,,,True
18255,mPOS,2017-03-29,mPOS,FMT_POS_1670,,,True
18403,mPOS,2017-03-29,mPOS,FMT_POS_1670,,,True
18454,mPOS,2017-03-29,mPOS,FMT_POS_1670,,,True
