,username,query_date,report_name,doc,start_date,end_date,is_period
15590,mPOS,2017-03-24,mPOS,FMT_SC_6840,,,True
15636,mPOS,2017-03-24,mPOS,FMT_SC_6840,,,True
15642,mPOS,2017-03-24,mPOS,FMT_SC_6840,,,True
15644,mPOS,2017-03-24,mPOS,FMT_SC_6840,,,True
16162,mPOS,2017-03-24,mPOS,FMT_SC_6840,,,True
20722,mPOS,2017-03-28,mPOS,FMT_SC_6840,,,True
21622,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True
21633,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True
21651,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True
21660,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True
21672,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True
21681,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True
21749,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True
21758,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2017-04-05,True
21814,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21822,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21833,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21841,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21849,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21860,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21868,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21876,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21884,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21892,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21900,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21908,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21916,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
21927,mPOS,2017-04-05,mPOS,FMT_SC_6840,2015-04-05,2015-04-05,True
