,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
12203,mPOS,2017-03-15,mPOS,FMT_UNB_0381,,,True,2017,3,15,3,0,0,0,0,0,0,0,0
12919,mPOS,2017-03-16,mPOS,FMT_UNB_0381,,,True,2017,3,16,4,0,0,0,0,0,0,0,0
12920,mPOS,2017-03-16,mPOS,FMT_UNB_0381,,,True,2017,3,16,4,0,0,0,0,0,0,0,0
12937,mPOS,2017-03-16,mPOS,FMT_UNB_0381,,,True,2017,3,16,4,0,0,0,0,0,0,0,0
15691,mPOS,2017-03-24,mPOS,FMT_UNB_0381,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
16218,mPOS,2017-03-24,mPOS,FMT_UNB_0381,,,True,2017,3,24,5,0,0,0,0,0,0,0,0
17634,user4,2017-03-30,user4,FMT_UNB_0381,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
17731,user4,2017-03-30,user4,FMT_UNB_0381,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
17922,user3,2017-03-31,user3,FMT_UNB_0381,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
17997,user4,2017-03-30,user4,FMT_UNB_0381,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
17999,user4,2017-03-30,user4,FMT_UNB_0381,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
18572,000358,2017-03-27,000358,FMT_UNB_0381,2017-03-01,2017-03-01,True,2017,3,27,1,2017,3,1,3,2017,3,1,3
19186,user1,2017-03-28,user1,FMT_UNB_0381,,9999-12-31,True,2017,3,28,2,0,0,0,0,0,0,0,0
19650,user4,2017-03-30,user4,FMT_UNB_0381,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
20193,mPOS,2017-03-30,mPOS,FMT_UNB_0381,,,True,2017,3,30,4,0,0,0,0,0,0,0,0
20194,user4,2017-03-30,user4,FMT_UNB_0381,,9999-12-31,True,2017,3,30,4,0,0,0,0,0,0,0,0
21321,user4,2017-04-05,user4,FMT_UNB_0381,,9999-12-31,True,2017,4,5,3,0,0,0,0,0,0,0,0
22355,user3,2017-04-06,user3,FMT_UNB_0381,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
22456,user3,2017-04-06,user3,FMT_UNB_0381,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
23082,mPOS,2017-04-03,mPOS,FMT_UNB_0381,,,True,2017,4,3,1,0,0,0,0,0,0,0,0
23094,mPOS,2017-04-03,mPOS,FMT_UNB_0381,,,True,2017,4,3,1,0,0,0,0,0,0,0,0
24161,user3,2017-04-06,user3,FMT_UNB_0381,,9999-12-31,True,2017,4,6,4,0,0,0,0,0,0,0,0
26654,mPOS,2017-04-12,mPOS,FMT_UNB_0381,,,True,2017,4,12,3,0,0,0,0,0,0,0,0
26688,000791,2017-04-12,000791,FMT_UNB_0381,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
26839,000791,2017-04-12,000791,FMT_UNB_0381,,9999-12-31,True,2017,4,12,3,0,0,0,0,0,0,0,0
28334,mPOS,2017-04-13,mPOS,FMT_UNB_0381,,,True,2017,4,13,4,0,0,0,0,0,0,0,0
30495,user2,2017-04-20,user2,FMT_UNB_0381,2017-05-31,2017-05-31,True,2017,4,20,4,2017,5,31,3,2017,5,31,3
