,username,query_date,report_name,doc,start_date,end_date,is_period,query_date_year,query_date_month,query_date_day,query_date_weekday,doc_start_date_year,doc_start_date_month,doc_start_date_day,doc_start_date_weekday,doc_end_date_year,doc_end_date_month,doc_end_date_day,doc_end_date_weekday
17834,000279,2017-03-31,000279,LS_PA_0180,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
17971,000279,2017-03-31,000279,LS_PA_0180,,9999-12-31,True,2017,3,31,5,0,0,0,0,0,0,0,0
18201,000279,2017-03-29,000279,LS_PA_0180,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
19062,000279,2017-03-29,000279,LS_PA_0180,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
19560,000279,2017-03-29,000279,LS_PA_0180,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
21267,000279,2017-03-29,000279,LS_PA_0180,,9999-12-31,True,2017,3,29,3,0,0,0,0,0,0,0,0
30414,001414,2017-04-21,001414,LS_PA_0180,,9999-12-31,True,2017,4,21,5,0,0,0,0,0,0,0,0
30444,001414,2017-04-20,001414,LS_PA_0180,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
30446,001414,2017-04-20,001414,LS_PA_0180,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
30457,001414,2017-04-20,001414,LS_PA_0180,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
31315,001414,2017-04-21,001414,LS_PA_0180,,9999-12-31,True,2017,4,21,5,0,0,0,0,0,0,0,0
31316,001414,2017-04-21,001414,LS_PA_0180,,9999-12-31,True,2017,4,21,5,0,0,0,0,0,0,0,0
31864,001414,2017-04-20,001414,LS_PA_0180,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
31982,001414,2017-04-20,001414,LS_PA_0180,,9999-12-31,True,2017,4,20,4,0,0,0,0,0,0,0,0
