,username,query_date,report_name,doc,start_date,end_date,is_period
1690,000358,2017-02-14,000358,LS_SC_5730,,2017-02-01,True
2900,ricky,2017-02-18,ricky,LS_SC_5730,2017-01-02,2017-01-02,True
4104,yusiang,2017-02-23,yusiang,LS_SC_5730,2017-02-20,2017-02-20,True
4716,000358,2017-03-08,000358,LS_SC_5730,2017-02-20,2017-02-20,True
5306,user4,2017-02-23,user4,LS_SC_5730,2017-01-03,2017-01-03,True
7233,user4,2017-02-23,user4,LS_SC_5730,2017-01-03,2017-01-03,True
9956,yusiang,2017-03-08,yusiang,LS_SC_5730,2017-02-20,2017-02-20,True
10126,000358,2017-03-08,000358,LS_SC_5730,2017-02-20,2017-02-20,True
10352,000358,2017-03-08,000358,LS_SC_5730,2017-02-20,2017-02-20,True
18313,user4,2017-03-29,user4,LS_SC_5730,2017-03-01,2017-03-01,True
19728,000358,2017-03-30,000358,LS_SC_5730,2017-03-01,2017-03-01,True
26283,001231,2017-04-11,001231,LS_SC_5730,2017-04-05,2017-04-05,True
