,username,query_date,report_name,doc,start_date,end_date,is_period
1839,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
3029,ricky,2017-02-17,ricky,ODS_ACT_0300,,9999-12-31,True
3030,ricky,2017-02-17,ricky,ODS_ACT_0300,,9999-12-31,True
3032,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
3037,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
3041,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
3042,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
3045,weiting,2017-02-17,weiting,ODS_ACT_0300,,9999-12-31,True
13192,001689,2017-03-16,001689,ODS_ACT_0300,,9999-12-31,True
30173,001689,2017-04-17,001689,ODS_ACT_0300,,9999-12-31,True
